"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2"
"Fatty acid degradation_Homo sapiens_hsa00071","",13105,2,2,43,0,0,1,1,"",""
"Fatty acid biosynthesis_Homo sapiens_hsa00061","",13105,2,2,12,0,0,1,1,"",""
"PPAR signaling pathway_Homo sapiens_hsa03320","",13105,2,2,68,0,0,1,1,"",""
"Primary bile acid biosynthesis_Homo sapiens_hsa00120","",13105,2,2,16,0,0,1,1,"",""
"Peroxisome_Homo sapiens_hsa04146","",13105,2,2,82,0,0,1,1,"",""
"Spliceosome_Homo sapiens_hsa03040","",13105,2,2,133,0,0,1,1,"",""
"RNA degradation_Homo sapiens_hsa03018","",13105,2,2,76,0,0,1,1,"",""
"mRNA surveillance pathway_Homo sapiens_hsa03015","",13105,2,2,90,0,0,1,1,"",""
"RNA transport_Homo sapiens_hsa03013","",13105,2,2,171,0,0,1,1,"",""
"Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008","",13105,2,2,88,0,0,1,1,"",""
"Ribosome_Homo sapiens_hsa03010","",13105,2,2,136,0,0,1,1,"",""
"Folate biosynthesis_Homo sapiens_hsa00790","",13105,2,2,13,0,0,1,1,"",""
"One carbon pool by folate_Homo sapiens_hsa00670","",13105,2,2,19,0,0,1,1,"",""
"Sulfur relay system_Homo sapiens_hsa04122","",13105,2,2,9,0,0,1,1,"",""
"Sulfur metabolism_Homo sapiens_hsa00920","",13105,2,2,9,0,0,1,1,"",""
"Selenocompound metabolism_Homo sapiens_hsa00450","",13105,2,2,16,0,0,1,1,"",""
"Aminoacyl-tRNA biosynthesis_Homo sapiens_hsa00970","",13105,2,2,65,0,0,1,1,"",""
