"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8"
"regulation of bone remodeling (GO:0046850)",NA,9330,22,8,11,0,0,0.00939662198500957,1,"","","","","","","",""
"positive regulation of toll-like receptor signaling pathway (GO:0034123)",NA,9330,22,8,18,0,0,0.0153359826315622,1,"","","","","","","",""
"glycoprotein catabolic process (GO:0006516)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)",NA,9330,22,8,69,0,0,0.0576760967662918,1,"","","","","","","",""
"negative regulation of interferon-gamma-mediated signaling pathway (GO:0060336)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"positive regulation of Ras protein signal transduction (GO:0046579)",NA,9330,22,8,39,0,0,0.0329675296950067,1,"","","","","","","",""
"centromeric sister chromatid cohesion (GO:0070601)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"L-ascorbic acid metabolic process (GO:0019852)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"telomere maintenance in response to DNA damage (GO:0043247)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"dermatan sulfate proteoglycan biosynthetic process (GO:0050651)",NA,9330,22,8,14,0,0,0.0119458895784953,1,"","","","","","","",""
"eosinophil chemotaxis (GO:0048245)",NA,9330,22,8,23,0,0,0.0195592834585759,1,"","","","","","","",""
"negative regulation of translational initiation (GO:0045947)",NA,9330,22,8,15,0,0,0.0127943688489299,1,"","","","","","","",""
"positive regulation of establishment of protein localization to mitochondrion (GO:1903749)",NA,9330,22,8,109,0,0,0.0897606396931089,1,"","","","","","","",""
"positive regulation of tumor necrosis factor production (GO:0032760)",NA,9330,22,8,46,0,0,0.0387830001079255,1,"","","","","","","",""
"glycerolipid metabolic process (GO:0046486)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"positive regulation of leukocyte mediated cytotoxicity (GO:0001912)",NA,9330,22,8,24,0,0,0.020402038990147,1,"","","","","","","",""
"positive regulation of immune system process (GO:0002684)",NA,9330,22,8,15,0,0,0.0127943688489299,1,"","","","","","","",""
"positive regulation of lamellipodium organization (GO:1902745)",NA,9330,22,8,20,0,0,0.0170272092341096,1,"","","","","","","",""
"immune response-inhibiting cell surface receptor signaling pathway (GO:0002767)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"fatty acid elongation, saturated fatty acid (GO:0019367)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"regulation of blood circulation (GO:1903522)",NA,9330,22,8,35,0,0,0.0296306007295059,1,"","","","","","","",""
"glandular epithelial cell development (GO:0002068)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"regulation of wound healing (GO:0061041)",NA,9330,22,8,33,0,0,0.0279583612385239,1,"","","","","","","",""
"monocyte differentiation (GO:0030224)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"plasma membrane organization (GO:0007009)",NA,9330,22,8,35,0,0,0.0296306007295059,1,"","","","","","","",""
"T cell proliferation (GO:0042098)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"retinoic acid receptor signaling pathway (GO:0048384)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"vesicle-mediated transport between endosomal compartments (GO:0098927)",NA,9330,22,8,22,0,0,0.0187158935948847,1,"","","","","","","",""
"copper ion homeostasis (GO:0055070)",NA,9330,22,8,12,0,0,0.0102470165578307,1,"","","","","","","",""
"metanephros development (GO:0001656)",NA,9330,22,8,22,0,0,0.0187158935948847,1,"","","","","","","",""
"negative regulation of lipid metabolic process (GO:0045833)",NA,9330,22,8,18,0,0,0.0153359826315622,1,"","","","","","","",""
"regulation of mitotic spindle organization (GO:0060236)",NA,9330,22,8,34,0,0,0.028794795906706,1,"","","","","","","",""
"negative regulation of secretion by cell (GO:1903531)",NA,9330,22,8,29,0,0,0.0246063159728976,1,"","","","","","","",""
"positive regulation of mesenchymal cell proliferation (GO:0002053)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"primary miRNA processing (GO:0031053)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"intermediate filament bundle assembly (GO:0045110)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"alternative mRNA splicing, via spliceosome (GO:0000380)",NA,9330,22,8,11,0,0,0.00939662198500957,1,"","","","","","","",""
"response to cAMP (GO:0051591)",NA,9330,22,8,39,0,0,0.0329675296950067,1,"","","","","","","",""
"positive regulation of chromosome segregation (GO:0051984)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"renal filtration (GO:0097205)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"positive regulation of lipid storage (GO:0010884)",NA,9330,22,8,18,0,0,0.0153359826315622,1,"","","","","","","",""
"vesicle fusion (GO:0006906)",NA,9330,22,8,93,0,0,0.0770434216963529,1,"","","","","","","",""
"protein O-linked glycosylation via threonine (GO:0018243)",NA,9330,22,8,20,0,0,0.0170272092341096,1,"","","","","","","",""
"negative regulation of protein secretion (GO:0050709)",NA,9330,22,8,41,0,0,0.0346322256659076,1,"","","","","","","",""
"regulation of protein export from nucleus (GO:0046825)",NA,9330,22,8,30,0,0,0.025445274092693,1,"","","","","","","",""
"TORC1 signaling (GO:0038202)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"negative regulation of substrate adhesion-dependent cell spreading (GO:1900025)",NA,9330,22,8,11,0,0,0.00939662198500957,1,"","","","","","","",""
"regulation of gene expression, epigenetic (GO:0040029)",NA,9330,22,8,73,0,0,0.0609284655556842,1,"","","","","","","",""
"positive regulation of wound healing (GO:0090303)",NA,9330,22,8,25,0,0,0.02124416059858,1,"","","","","","","",""
"regulation of mitochondrial fission (GO:0090140)",NA,9330,22,8,18,0,0,0.0153359826315622,1,"","","","","","","",""
"regulation of glucokinase activity (GO:0033131)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"citrate metabolic process (GO:0006101)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"positive regulation of phagocytosis (GO:0050766)",NA,9330,22,8,38,0,0,0.03213424019022,1,"","","","","","","",""
"response to alcohol (GO:0097305)",NA,9330,22,8,24,0,0,0.020402038990147,1,"","","","","","","",""
"negative regulation of response to interferon-gamma (GO:0060331)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"pancreas development (GO:0031016)",NA,9330,22,8,13,0,0,0.0110967722851903,1,"","","","","","","",""
"negative regulation of cell cycle process (GO:0010948)",NA,9330,22,8,80,0,0,0.0665964814549974,1,"","","","","","","",""
"activation of protein kinase B activity (GO:0032148)",NA,9330,22,8,29,0,0,0.0246063159728976,1,"","","","","","","",""
"positive regulation of protein tyrosine kinase activity (GO:0061098)",NA,9330,22,8,27,0,0,0.0229265036808648,1,"","","","","","","",""
"cyclic purine nucleotide metabolic process (GO:0052652)",NA,9330,22,8,29,0,0,0.0246063159728976,1,"","","","","","","",""
"positive regulation of B cell differentiation (GO:0045579)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"epithelial cilium movement involved in determination of left/right asymmetry (GO:0060287)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"positive regulation of T cell apoptotic process (GO:0070234)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"carnitine transport (GO:0015879)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"regulation of JUN kinase activity (GO:0043506)",NA,9330,22,8,33,0,0,0.0279583612385239,1,"","","","","","","",""
"regulation of sodium ion transmembrane transporter activity (GO:2000649)",NA,9330,22,8,36,0,0,0.0304657761134934,1,"","","","","","","",""
"citrulline metabolic process (GO:0000052)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"regulation of cellular response to oxidative stress (GO:1900407)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"negative regulation of B cell proliferation (GO:0030889)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"hemopoiesis (GO:0030097)",NA,9330,22,8,75,0,0,0.062550963454202,1,"","","","","","","",""
"regulation of osteoblast differentiation (GO:0045667)",NA,9330,22,8,68,0,0,0.0568614662037384,1,"","","","","","","",""
"regulation of renal sodium excretion (GO:0035813)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"viral life cycle (GO:0019058)",NA,9330,22,8,106,0,0,0.0873879087451717,1,"","","","","","","",""
"regulation of actin cytoskeleton organization (GO:0032956)",NA,9330,22,8,74,0,0,0.0617400213810656,1,"","","","","","","",""
"intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)",NA,9330,22,8,42,0,0,0.0354636329427589,1,"","","","","","","",""
"zinc ion homeostasis (GO:0055069)",NA,9330,22,8,30,0,0,0.025445274092693,1,"","","","","","","",""
"positive regulation of flagellated sperm motility (GO:1902093)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"regulation of interleukin-18 production (GO:0032661)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"amino-acid betaine transport (GO:0015838)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"regulation of MAPK cascade (GO:0043408)",NA,9330,22,8,202,0,0,0.160688752767799,1,"","","","","","","",""
"defense response to Gram-negative bacterium (GO:0050829)",NA,9330,22,8,70,0,0,0.0584901115839002,1,"","","","","","","",""
"cytokine-mediated signaling pathway (GO:0019221)",NA,9330,22,8,632,0,0,0.429563479422498,1,"","","","","","","",""
"glycosphingolipid catabolic process (GO:0046479)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"nicotinamide nucleotide biosynthetic process (GO:0019359)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"positive regulation of IRE1-mediated unfolded protein response (GO:1903896)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"regulation of interleukin-5 secretion (GO:2000662)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"water-soluble vitamin metabolic process (GO:0006767)",NA,9330,22,8,76,0,0,0.063361292172988,1,"","","","","","","",""
"N-acetylglucosamine metabolic process (GO:0006044)",NA,9330,22,8,13,0,0,0.0110967722851903,1,"","","","","","","",""
"dimeric G-protein coupled receptor signaling pathway (GO:0038042)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"regulation of organelle assembly (GO:1902115)",NA,9330,22,8,46,0,0,0.0387830001079255,1,"","","","","","","",""
"negative regulation of kinase activity (GO:0033673)",NA,9330,22,8,90,0,0,0.0746417143390368,1,"","","","","","","",""
"osteoclast differentiation (GO:0030316)",NA,9330,22,8,18,0,0,0.0153359826315622,1,"","","","","","","",""
"negative regulation of BMP signaling pathway (GO:0030514)",NA,9330,22,8,31,0,0,0.0262836007386349,1,"","","","","","","",""
"positive regulation of immune response (GO:0050778)",NA,9330,22,8,53,0,0,0.0445678464114976,1,"","","","","","","",""
"actin filament depolymerization (GO:0030042)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"vesicle-mediated transport in synapse (GO:0099003)",NA,9330,22,8,35,0,0,0.0296306007295059,1,"","","","","","","",""
"response to UV-B (GO:0010224)",NA,9330,22,8,12,0,0,0.0102470165578307,1,"","","","","","","",""
"sulfur amino acid metabolic process (GO:0000096)",NA,9330,22,8,21,0,0,0.01787186898987,1,"","","","","","","",""
"oligodendrocyte differentiation (GO:0048709)",NA,9330,22,8,13,0,0,0.0110967722851903,1,"","","","","","","",""
"DNA catabolic process, endonucleolytic (GO:0000737)",NA,9330,22,8,21,0,0,0.01787186898987,1,"","","","","","","",""
"regulation of response to biotic stimulus (GO:0002831)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"negative regulation of DNA biosynthetic process (GO:2000279)",NA,9330,22,8,29,0,0,0.0246063159728976,1,"","","","","","","",""
"negative regulation of autophagosome assembly (GO:1902902)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"DNA ligation involved in DNA repair (GO:0051103)",NA,9330,22,8,11,0,0,0.00939662198500957,1,"","","","","","","",""
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",NA,9330,22,8,235,0,0,0.184667446647077,1,"","","","","","","",""
"ammonium transmembrane transport (GO:0072488)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"cyclic-nucleotide-mediated signaling (GO:0019935)",NA,9330,22,8,31,0,0,0.0262836007386349,1,"","","","","","","",""
"exit from mitosis (GO:0010458)",NA,9330,22,8,11,0,0,0.00939662198500957,1,"","","","","","","",""
"negative regulation of myeloid cell differentiation (GO:0045638)",NA,9330,22,8,21,0,0,0.01787186898987,1,"","","","","","","",""
"negative regulation of secretion (GO:0051048)",NA,9330,22,8,13,0,0,0.0110967722851903,1,"","","","","","","",""
"dephosphorylation (GO:0016311)",NA,9330,22,8,123,0,0,0.100762159742177,1,"","","","","","","",""
"positive regulation of mitotic cell cycle phase transition (GO:1901992)",NA,9330,22,8,39,0,0,0.0329675296950067,1,"","","","","","","",""
"negative regulation of reproductive process (GO:2000242)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"regulation of actin filament-based process (GO:0032970)",NA,9330,22,8,61,0,0,0.0511417778485621,1,"","","","","","","",""
"response to unfolded protein (GO:0006986)",NA,9330,22,8,42,0,0,0.0354636329427589,1,"","","","","","","",""
"receptor guanylyl cyclase signaling pathway (GO:0007168)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"positive regulation of protein transport (GO:0051222)",NA,9330,22,8,55,0,0,0.0462150541761137,1,"","","","","","","",""
"isoprenoid biosynthetic process (GO:0008299)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"regulation of cell proliferation (GO:0042127)",NA,9330,22,8,739,1,0.0013531799729364,0.127545279912013,1,"AKR1C2","","","","","","",""
"glutamine family amino acid catabolic process (GO:0009065)",NA,9330,22,8,15,0,0,0.0127943688489299,1,"","","","","","","",""
"positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)",NA,9330,22,8,32,0,0,0.0271212963181692,1,"","","","","","","",""
"cardiac left ventricle morphogenesis (GO:0003214)",NA,9330,22,8,13,0,0,0.0110967722851903,1,"","","","","","","",""
"response to ketone (GO:1901654)",NA,9330,22,8,25,0,0,0.02124416059858,1,"","","","","","","",""
"regulation of glial cell apoptotic process (GO:0034350)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"cytoskeleton-dependent cytokinesis (GO:0061640)",NA,9330,22,8,69,0,0,0.0576760967662918,1,"","","","","","","",""
"regulation of store-operated calcium entry (GO:2001256)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"fatty acid elongation, polyunsaturated fatty acid (GO:0034626)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"positive regulation of actin filament depolymerization (GO:0030836)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"anterograde axonal transport (GO:0008089)",NA,9330,22,8,30,0,0,0.025445274092693,1,"","","","","","","",""
"polyamine metabolic process (GO:0006595)",NA,9330,22,8,11,0,0,0.00939662198500957,1,"","","","","","","",""
"nucleotide-excision repair, DNA damage recognition (GO:0000715)",NA,9330,22,8,22,0,0,0.0187158935948847,1,"","","","","","","",""
"negative regulation of cytokine biosynthetic process (GO:0042036)",NA,9330,22,8,20,0,0,0.0170272092341096,1,"","","","","","","",""
"protein modification by small protein conjugation (GO:0032446)",NA,9330,22,8,397,0,0,0.293897796448453,1,"","","","","","","",""
"regulation of viral genome replication (GO:0045069)",NA,9330,22,8,62,0,0,0.0519607298150324,1,"","","","","","","",""
"regulation of short-term neuronal synaptic plasticity (GO:0048172)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"regulation of atrial cardiac muscle cell membrane depolarization (GO:0060371)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"negative chemotaxis (GO:0050919)",NA,9330,22,8,25,0,0,0.02124416059858,1,"","","","","","","",""
"nucleosome disassembly (GO:0006337)",NA,9330,22,8,18,0,0,0.0153359826315622,1,"","","","","","","",""
"primary alcohol catabolic process (GO:0034310)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"regulation of proteolysis (GO:0030162)",NA,9330,22,8,62,0,0,0.0519607298150324,1,"","","","","","","",""
"negative regulation of complement activation (GO:0045916)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"wound healing (GO:0042060)",NA,9330,22,8,49,0,0,0.0412659617652988,1,"","","","","","","",""
"negative regulation of dephosphorylation (GO:0035305)",NA,9330,22,8,62,0,0,0.0519607298150324,1,"","","","","","","",""
"negative regulation of cell size (GO:0045792)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"cellular response to pH (GO:0071467)",NA,9330,22,8,15,0,0,0.0127943688489299,1,"","","","","","","",""
"negative regulation of DNA metabolic process (GO:0051053)",NA,9330,22,8,42,0,0,0.0354636329427589,1,"","","","","","","",""
"positive regulation of protein localization to cell surface (GO:2000010)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"negative regulation of cell activation (GO:0050866)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:0002043)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"cellular response to interleukin-15 (GO:0071350)",NA,9330,22,8,12,0,0,0.0102470165578307,1,"","","","","","","",""
"response to leucine (GO:0043201)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"positive regulation of cellular catabolic process (GO:0031331)",NA,9330,22,8,105,0,0,0.0865957966989486,1,"","","","","","","",""
"epithelial cell differentiation (GO:0030855)",NA,9330,22,8,95,1,0.0105263157894737,0.00276024956556863,1,"AKR1C2","","","","","","",""
"7-methylguanosine RNA capping (GO:0009452)",NA,9330,22,8,31,0,0,0.0262836007386349,1,"","","","","","","",""
"ERBB2 signaling pathway (GO:0038128)",NA,9330,22,8,38,0,0,0.03213424019022,1,"","","","","","","",""
"positive regulation of protein deubiquitination (GO:1903003)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"response to UV (GO:0009411)",NA,9330,22,8,97,0,0,0.0802372128032302,1,"","","","","","","",""
"phosphate ion transport (GO:0006817)",NA,9330,22,8,12,0,0,0.0102470165578307,1,"","","","","","","",""
"negative regulation of actin filament polymerization (GO:0030837)",NA,9330,22,8,21,0,0,0.01787186898987,1,"","","","","","","",""
"autophagosome assembly (GO:0000045)",NA,9330,22,8,57,0,0,0.0478597765276682,1,"","","","","","","",""
"positive regulation of growth (GO:0045927)",NA,9330,22,8,70,0,0,0.0584901115839002,1,"","","","","","","",""
"DNA geometric change (GO:0032392)",NA,9330,22,8,23,0,0,0.0195592834585759,1,"","","","","","","",""
"spinal cord dorsal/ventral patterning (GO:0021513)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"positive regulation of metanephros development (GO:0072216)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"regulation of transcription factor import into nucleus (GO:0042990)",NA,9330,22,8,18,0,0,0.0153359826315622,1,"","","","","","","",""
"copper ion transport (GO:0006825)",NA,9330,22,8,13,0,0,0.0110967722851903,1,"","","","","","","",""
"regulation of chemokine production (GO:0032642)",NA,9330,22,8,17,0,0,0.0144894149648299,1,"","","","","","","",""
"negative regulation of interleukin-2 production (GO:0032703)",NA,9330,22,8,14,0,0,0.0119458895784953,1,"","","","","","","",""
"Fc-epsilon receptor signaling pathway (GO:0038095)",NA,9330,22,8,181,0,0,0.145110324949537,1,"","","","","","","",""
"negative regulation of protein depolymerization (GO:1901880)",NA,9330,22,8,19,0,0,0.0161819139179614,1,"","","","","","","",""
"phospholipase C-activating dopamine receptor signaling pathway (GO:0060158)",NA,9330,22,8,12,0,0,0.0102470165578307,1,"","","","","","","",""
"positive regulation of gene silencing by miRNA (GO:2000637)",NA,9330,22,8,19,0,0,0.0161819139179614,1,"","","","","","","",""
"phosphorylated carbohydrate dephosphorylation (GO:0046838)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"mitochondrion localization (GO:0051646)",NA,9330,22,8,14,0,0,0.0119458895784953,1,"","","","","","","",""
"tRNA aminoacylation (GO:0043039)",NA,9330,22,8,39,0,0,0.0329675296950067,1,"","","","","","","",""
"macromolecular complex assembly (GO:0065003)",NA,9330,22,8,119,0,0,0.0976308050329383,1,"","","","","","","",""
"chromatin disassembly (GO:0031498)",NA,9330,22,8,18,0,0,0.0153359826315622,1,"","","","","","","",""
"regulation of neuron projection development (GO:0010975)",NA,9330,22,8,118,0,0,0.0968464771798595,1,"","","","","","","",""
"glial cell development (GO:0021782)",NA,9330,22,8,19,0,0,0.0161819139179614,1,"","","","","","","",""
"regulation of ceramide biosynthetic process (GO:2000303)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"regulation of lymphocyte differentiation (GO:0045619)",NA,9330,22,8,13,0,0,0.0110967722851903,1,"","","","","","","",""
"positive regulation of hormone secretion (GO:0046887)",NA,9330,22,8,16,0,0,0.0136422105074602,1,"","","","","","","",""
"regulation of potassium ion transmembrane transport (GO:1901379)",NA,9330,22,8,31,0,0,0.0262836007386349,1,"","","","","","","",""
"protein polyglutamylation (GO:0018095)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"carboxylic acid transport (GO:0046942)",NA,9330,22,8,50,0,0,0.0420923675734961,1,"","","","","","","",""
"response to hydroxyurea (GO:0072710)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"macrophage migration (GO:1905517)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"axoneme assembly (GO:0035082)",NA,9330,22,8,23,0,0,0.0195592834585759,1,"","","","","","","",""
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"NIK/NF-kappaB signaling (GO:0038061)",NA,9330,22,8,79,0,0,0.0657886021789658,1,"","","","","","","",""
"positive regulation of protein modification process (GO:0031401)",NA,9330,22,8,162,0,0,0.130798145640295,1,"","","","","","","",""
"regulation of phosphatidylinositol biosynthetic process (GO:0010511)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"phospholipid biosynthetic process (GO:0008654)",NA,9330,22,8,36,0,0,0.0304657761134934,1,"","","","","","","",""
"negative regulation of neuron apoptotic process (GO:0043524)",NA,9330,22,8,62,0,0,0.0519607298150324,1,"","","","","","","",""
"cytosolic calcium ion transport (GO:0060401)",NA,9330,22,8,21,0,0,0.01787186898987,1,"","","","","","","",""
"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042)",NA,9330,22,8,30,0,0,0.025445274092693,1,"","","","","","","",""
"postreplication repair (GO:0006301)",NA,9330,22,8,46,0,0,0.0387830001079255,1,"","","","","","","",""
"mesenchyme morphogenesis (GO:0072132)",NA,9330,22,8,14,0,0,0.0119458895784953,1,"","","","","","","",""
"negative regulation of interleukin-1 beta secretion (GO:0050713)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"regulation of clathrin-dependent endocytosis (GO:2000369)",NA,9330,22,8,14,0,0,0.0119458895784953,1,"","","","","","","",""
"organic anion transport (GO:0015711)",NA,9330,22,8,123,0,0,0.100762159742177,1,"","","","","","","",""
"L-cysteine metabolic process (GO:0046439)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"negative regulation of cell adhesion mediated by integrin (GO:0033629)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"positive regulation of interleukin-10 production (GO:0032733)",NA,9330,22,8,21,0,0,0.01787186898987,1,"","","","","","","",""
"positive regulation of T-helper 2 cell differentiation (GO:0045630)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"tetrahydrofolate metabolic process (GO:0046653)",NA,9330,22,8,12,0,0,0.0102470165578307,1,"","","","","","","",""
"striated muscle cell development (GO:0055002)",NA,9330,22,8,19,0,0,0.0161819139179614,1,"","","","","","","",""
"positive regulation of cytokine secretion (GO:0050715)",NA,9330,22,8,72,0,0,0.0601162955799488,1,"","","","","","","",""
"regulation of cellular amide metabolic process (GO:0034248)",NA,9330,22,8,37,0,0,0.0313003224650203,1,"","","","","","","",""
"translation (GO:0006412)",NA,9330,22,8,231,2,0.00865800865800866,0.000765194105194802,1,"MRPL27","MRPL36","","","","","",""
"monovalent inorganic cation transport (GO:0015672)",NA,9330,22,8,103,0,0,0.0850097676638163,1,"","","","","","","",""
"synaptic vesicle localization (GO:0097479)",NA,9330,22,8,12,0,0,0.0102470165578307,1,"","","","","","","",""
"positive regulation of macrophage derived foam cell differentiation (GO:0010744)",NA,9330,22,8,15,0,0,0.0127943688489299,1,"","","","","","","",""
"cellular response to oxygen-containing compound (GO:1901701)",NA,9330,22,8,273,1,0.00366300366300366,0.0212577756438292,1,"AKR1C2","","","","","","",""
"sphingolipid metabolic process (GO:0006665)",NA,9330,22,8,115,0,0,0.0944899133832581,1,"","","","","","","",""
"regulation of histone phosphorylation (GO:0033127)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"nuclear import (GO:0051170)",NA,9330,22,8,70,0,0,0.0584901115839002,1,"","","","","","","",""
"regulation of myelination (GO:0031641)",NA,9330,22,8,16,0,0,0.0136422105074602,1,"","","","","","","",""
"cellular response to interleukin-1 (GO:0071347)",NA,9330,22,8,149,0,0,0.120885212259274,1,"","","","","","","",""
"regulation of embryonic development (GO:0045995)",NA,9330,22,8,28,0,0,0.0237667259715832,1,"","","","","","","",""
"response to hydrogen peroxide (GO:0042542)",NA,9330,22,8,42,0,0,0.0354636329427589,1,"","","","","","","",""
"negative regulation of cell motility (GO:2000146)",NA,9330,22,8,96,0,0,0.0794396729920903,1,"","","","","","","",""
"glycosaminoglycan metabolic process (GO:0030203)",NA,9330,22,8,60,0,0,0.050322206937613,1,"","","","","","","",""
"B cell activation involved in immune response (GO:0002312)",NA,9330,22,8,12,0,0,0.0102470165578307,1,"","","","","","","",""
"regulation of lipopolysaccharide-mediated signaling pathway (GO:0031664)",NA,9330,22,8,17,0,0,0.0144894149648299,1,"","","","","","","",""
"cellular response to glucose starvation (GO:0042149)",NA,9330,22,8,32,0,0,0.0271212963181692,1,"","","","","","","",""
"positive regulation of phospholipid biosynthetic process (GO:0071073)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"sphingolipid catabolic process (GO:0030149)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"heterochromatin organization (GO:0070828)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"JNK cascade (GO:0007254)",NA,9330,22,8,65,0,0,0.054413876053465,1,"","","","","","","",""
"positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)",NA,9330,22,8,27,0,0,0.0229265036808648,1,"","","","","","","",""
