Gene	RNA	Protein
VPS28	5.400141292	28.42562364
ACO1	4.534752749	28.42392716
RPL9	6.506619052	28.42122802
GCLM	6.049853766	28.4195517
DARS1	5.557136888	28.41180472
EML4	6.353408986	28.40852875
PITPNB	5.764487395	28.40289344
HNRNPH3	6.631086813	28.3956988
SERPINF1	6.65983197	28.38885546
GGCT	4.883347026	28.38685574
NUCB1	6.494099403	28.38624073
TMED10	7.697830701	28.38209137
STING1	6.12357598	28.377553
ACIN1	7.252358243	28.37734004
HMGN2	5.706076457	28.37642578
STAT1	7.979897473	28.3748197
COPG2	5.416565113	28.37463964
ATP6V1B2	5.848103436	28.37323128
SEC23B	6.261573315	28.3708754
GFPT1	6.483967795	28.36338918
PITPNA	6.415439982	28.34697593
FAM120A	7.434950651	28.34506504
OSTF1	5.050645292	28.3391767
CSNK2B	5.68215921	28.33814041
DNAJC3	6.374913708	28.33683255
VWA5A	5.994315068	28.33116918
COPS4	4.935041011	28.32872496
ARFIP1	5.503287768	28.3282451
PML	5.961915406	28.31517842
SCRN1	6.898594407	28.31004368
PDXDC1	6.989941969	28.30644846
PKP3	6.299067573	28.29688377
RPL7A	7.728896968	28.29671482
DLST	5.868122757	28.28450795
LRRFIP1	7.071858109	28.28273532
DDX6	7.311541443	28.28058823
TARS1	6.395049335	28.27985213
ELOC	4.477724852	28.27964223
GOLM1	8.301562982	28.27712908
BAG3	6.314507781	28.27326594
EIF3E	7.285733127	28.26874023
PRPS2	5.456413516	28.26709266
SERPINB2	6.156928041	28.25478521
OSBP	6.380038081	28.24604511
FLOT1	6.219920836	28.24554282
SFXN1	4.38111415	28.22992155
MTDH	6.592543002	28.22166601
CAPRIN1	8.065648444	28.21855957
CARS1	6.22870903	28.21554173
METAP2	6.177023871	28.20845153
USP14	5.478499641	28.20479297
AP2A2	5.462845844	28.18270947
AGRN	8.179435533	28.17487824
COPS3	5.286594771	28.17344696
GMDS	4.566665234	28.16417231
STXBP2	5.779638472	28.15829351
LAMTOR5	5.402442721	28.15806498
NAE1	4.852898115	28.15103365
RPL15	8.961281107	28.14442991
PPME1	5.26558236	28.14283596
PITRM1	5.876940319	28.12921829
TOM1	5.573504742	28.12873939
UFL1	5.526718044	28.11696898
LAMTOR1	5.374751204	28.11608596
RPS2	7.374664381	28.11201934
ACAD9	4.932622304	28.11197455
PTGR1	5.70179275	28.11181248
CIRBP	7.074485473	28.10816397
ABHD10	4.496988474	28.09884425
HSPE1	5.320974303	28.09621067
VPS26A	5.833357525	28.0929299
ITGB4	8.668534259	28.08827251
ME2	4.994991204	28.08800507
CPNE1	5.897479985	28.08515292
TOMM34	5.50475275	28.07427397
SCRIB	5.971537495	28.07021768
TSTA3	5.422137239	28.06869651
ABCE1	5.528424335	28.06320872
RPL11	8.861888711	28.05597844
ATAD3A	4.916177437	28.05405388
METTL7A	6.756888151	28.0420259
SRRT	6.313274164	28.04002229
SPR	3.950670769	28.03174907
GMPS	4.97019246	28.02491678
ATL3	5.455618104	28.02446047
CGN	7.0726833	28.02299153
CD44	8.093963138	28.01375274
CD109	6.760859576	28.00933461
NDUFS2	6.197861689	28.00815715
ALDH16A1	5.023602305	28.0072516
PDCD4	7.190718502	28.00640599
ACSF2	4.410129282	27.99949888
PRKACA	5.251404808	27.99070192
CES2	6.442149019	27.98589913
RNASET2	3.507370094	27.98251027
SRSF3	7.398155644	27.95612026
UBR4	7.75723438	27.9536559
S100A16	7.323653585	27.93831728
NAP1L1	7.529600594	27.93088089
KIF13B	6.61958922	27.92555095
IPO5	6.615767109	27.9193871
AP1M2	5.872597643	27.91622179
NUMA1	8.093311079	27.91496465
MOGS	5.600876304	27.91252433
TJP3	6.913340052	27.90572638
NDUFB9	5.53923223	27.8955033
SPAG1	6.233696927	27.83433577
PLXNB2	9.223675794	27.81181921
EHD4	5.87519058	27.79268932
NDUFA12	4.930235442	27.78271038
RPS6	9.344394375	27.78187524
MPP7	5.614361407	27.78009297
RAD50	6.328706822	27.77587507
PRXL2A	6.166363465	27.77242693
NSDHL	4.679796852	27.74865209
CROCC2	5.448290493	27.74343006
MCCC1	4.98326799	27.73894724
DNAH5	8.137765756	27.73752311
PARP4	7.249807674	27.73195639
SLC25A13	4.64735515	27.72959111
TMED4	5.807740324	27.72682712
SEC23A	4.697100234	27.72547555
ADK	4.499001337	27.7190248
BCKDHA	4.654301856	27.71001498
OPA1	5.953056205	27.69688944
VASP	5.589942474	27.69113332
PDAP1	5.777886893	27.6910943
SRP68	6.092057626	27.68943184
DNM1L	5.783997816	27.68457226
SEPHS1	5.244102516	27.67322673
SNX2	5.905897305	27.67219577
DNAJC8	5.637941254	27.66896661
PCBP2	7.680447375	27.65980498
SLC25A24	6.113176431	27.65332345
MAT2B	6.035165665	27.64810187
SAE1	5.814865862	27.62244757
ILVBL	4.924003606	27.60303646
ACBD3	5.781800322	27.5926252
RPS5	7.732053923	27.58846664
DIAPH1	6.711807956	27.58552087
ITGA2	7.838464922	27.58295535
TRIM29	8.516739983	27.57761279
CKMT1A	3.642690759	27.57340763
ITPR3	7.425814157	27.56965626
S100A14	7.322904686	27.56801082
NDUFV2	5.411513445	27.56657401
ASPH	7.113571921	27.56525069
SEC24C	6.448841617	27.56273697
ENO2	3.526205618	27.54569737
RBM25	6.751339174	27.54242428
SRP72	5.997138327	27.53195838
ATP2B4	7.440144318	27.52383324
CKAP5	6.587645094	27.52128884
RPL19	8.785313779	27.50689524
NT5C2	7.075153204	27.506344
RPL23A	7.466590088	27.50603709
FKBP2	5.05386137	27.50123054
DGKA	6.205271886	27.47155968
EWSR1	7.392711421	27.47072709
ACSS1	5.379588633	27.46657256
MTX2	4.916634672	27.45788577
PCMT1	5.171285971	27.45471822
FAF2	6.008192034	27.45416995
KIAA1217	7.015954815	27.44126645
LYN	6.072256531	27.4343876
PARP1	6.133907131	27.39866668
MBOAT7	5.953423448	27.39057373
RPL38	7.043408363	27.37587033
ADAR	8.133652307	27.36379757
GOLGB1	8.182187104	27.36082793
PHB2	6.416302704	27.35651245
PRKAA1	6.372984028	27.35539033
PFDN2	4.45001548	27.34794902
DYNC1LI1	5.18881434	27.29614445
PACSIN2	6.28540465	27.27117653
MAP1A	6.077086423	27.26646449
ATP1B3	7.260068983	27.26182886
PSMD5	5.116504089	27.25672771
DNAH9	7.381565886	27.24609999
RAB1B	7.25545428	27.21404702
H2AZ2	5.868308848	27.20317815
PXN	7.164359432	27.20250426
UFD1	4.821944375	27.19591699
DYNC2H1	6.714568586	27.18995401
FKBP15	5.733557138	27.15488014
ATP6V1H	5.109154382	27.15467776
MX1	7.982057597	27.15267188
ATP5PO	6.210577239	27.14702595
TMC5	7.554879944	27.14675808
RPS28	3.854496353	27.14487239
CASK	5.742476736	27.14230158
MB	3.761524727	27.13749492
SEC16A	6.987215265	27.12538689
RPL21	6.63373989	27.11277321
ATXN10	6.426847869	27.0941416
NOMO3	6.524245998	27.08786834
PTRH2	3.535669815	27.08496911
HP1BP3	6.699365104	27.08307744
MISP	6.179243874	27.08185069
PDLIM5	6.57453541	27.07909416
PPP5C	5.462975135	27.06581507
MYO1C	6.304859269	27.05574822
PRPF8	7.982251343	27.05117294
RHOT2	5.7892339	27.04747792
RPL27	7.680343709	27.02719662
HMGA1	7.159354463	26.99853444
MYO1E	6.751371548	26.98480345
HINT2	3.708753418	26.98383171
CETN2	7.435127647	26.94871223
C1orf87	4.337350128	26.94032877
SNRNP200	7.851786235	26.93968602
NSFL1C	6.136865096	26.93734513
SPTBN2	7.032280545	26.93017304
PBDC1	4.68353771	26.92289906
NHLRC2	5.100107905	26.91113495
RABGGTA	4.545481034	26.90404501
METAP1	5.87740273	26.87485858
NMT1	6.407127863	26.86758798
TRIP6	5.840888211	26.86526585
DDOST	6.735910741	26.86358789
PSMD6	5.664031095	26.856648
NUDT5	5.850381115	26.84476469
TTC25	5.805487968	26.82376971
ANK3	6.641526256	26.80991115
GPD1L	6.233942352	26.80823723
EIF3B	6.715100934	26.80568269
STUB1	5.636790577	26.80286341
NUCKS1	7.497838273	26.80006008
IL1RN	6.642401577	26.78988434
FAM162A	4.881950069	26.77740771
EIF3H	6.838936335	26.77479069
EIF3I	6.229221609	26.76515853
SMARCA5	6.996491974	26.75886549
MARCKS	7.066109209	26.7363143
PTRHD1	3.96082719	26.73157814
ABCC1	6.846154854	26.72814371
KIF21A	7.277009798	26.72524008
BTF3	7.755443712	26.69853356
HEXB	5.773783982	26.69850231
SF1	7.01109683	26.69377806
NDRG2	7.22277305	26.69249279
GTF2I	8.716231848	26.68647408
ADAM10	6.718955524	26.68576913
CYB5R1	5.566646909	26.6846971
TAF15	6.788844878	26.67711609
EIF3D	7.07443044	26.66929867
SUCLG1	5.332207815	26.66177496
DHX15	6.867266364	26.65728394
CD59	9.287249126	26.65555474
EIF4G2	9.672314883	26.6520444
EIF2S1	5.596077249	26.6504427
PTPN6	4.990177891	26.64533163
VAPB	5.774991858	26.64489385
ST14	8.147703707	26.62998796
PSMC1	4.527038756	26.62080082
SUB1	5.816679268	26.61483108
TGM2	6.169256006	26.60216057
ADD1	7.138800042	26.59403407
RPL28	8.250312701	26.58956193
TPD52	5.738582918	26.58209981
PCK2	4.022421011	26.57447568
APPL2	6.134407169	26.56530099
MAGED2	7.38154578	26.55330372
PSMD10	5.319533641	26.54002641
LAMC2	8.414339899	26.51754048
VPS37B	5.972476302	26.48673355
IFT74	5.218878914	26.47435667
GLUL	10.23319567	26.47067887
ARPC5L	5.41965139	26.4573682
JPT2	8.029358247	26.4180031
SNCA	4.469966848	26.40344583
PRPF40A	6.894580365	26.40318796
SPACA9	5.556951263	26.38446945
CDC42BPB	7.072736539	26.37167197
SF3A3	5.573916597	26.3711032
PYM1	4.413065105	26.37010415
NOP58	5.392449224	26.36683529
TMEM205	4.996615963	26.3592357
EIF3G	6.260226053	26.35668667
ARL6IP5	6.735775007	26.34886106
DKC1	5.218264189	26.34875146
PCM1	8.173349022	26.3472766
NME5	5.040787656	26.34639112
SEC61A1	7.561987697	26.34597908
NUBP1	4.119575965	26.31504704
ERMP1	6.594198133	26.3093538
HUWE1	7.931842828	26.2982232
PUDP	4.537409529	26.2860206
PSPC1	5.271306268	26.27270419
MVK	5.208684885	26.26954483
CHD4	7.967743587	26.26709307
TWF2	4.53984262	26.24610725
BROX	5.433770262	26.24391488
NDUFC2	5.499279925	26.23399756
HMGB3	5.922705455	26.23135219
DDI2	6.531531336	26.22761682
BCLAF1	7.183441282	26.22292359
LSM2	3.277231171	26.21984226
PLEKHS1	7.675199671	26.20471385
GOT2	6.242781649	26.20278961
USP7	6.767334391	26.19009274
EPCAM	6.452729654	26.18475108
SERPINB13	5.74083469	26.18328972
DDRGK1	5.400409592	26.18258212
GLRX3	5.29947182	26.18043421
RCN2	5.749102252	26.17744664
ACP1	5.664069461	26.16109476
TUBA1C	8.259125995	26.1561615
SNRPC	5.278630847	26.15398045
PAPSS1	6.884609071	26.15395874
ZNF185	5.72723353	26.1498775
IVL	3.404150035	26.14460194
EIF5B	6.998143227	26.13200873
RNPS1	5.312456358	26.12790544
ARPC5	6.499587984	26.123091
GNAI3	6.029717423	26.11811784
TSG101	6.000754055	26.10510703
ARL8B	5.920809689	26.10263494
KRAS	5.344268101	26.09561097
BOLA2	0.057086423	26.09472795
ADD3	7.507519098	26.08900454
HNRNPAB	6.459727665	26.07782588
COPS6	5.499823296	26.07372592
ARF5	6.295265732	26.05689408
SPINT1	7.449987697	26.0535129
TFG	6.296832004	26.05071322
OGFR	5.438422555	26.02677837
COPS2	5.924695724	26.02478094
EPHX2	4.277334435	26.01047056
BCAM	6.825803592	25.99802988
LRRC46	6.660496939	25.99800613
IDH3G	5.069487856	25.98448894
ACTR1B	5.803163416	25.98226031
NDUFA10	5.931641348	25.98191929
CISD1	4.503493263	25.98046806
CCAR1	6.487104209	25.96258042
CDC5L	5.998596754	25.96213229
FAM83H	6.726217221	25.92912853
DNAJA2	5.989380122	25.92547345
PPM1G	6.60068632	25.91802355
AP1G1	7.06304355	25.91669846
PDCD6	5.986141284	25.90755757
BAIAP2L1	6.785673694	25.90095057
PRKRA	4.563981605	25.89876198
GLB1	5.855681562	25.89762735
EIF5	7.706672911	25.89511476
GNAI1	6.006566874	25.89336783
AP3D1	6.86737004	25.88038
COPZ1	6.259420003	25.87962126
TBCA	5.467202084	25.87919447
GBE1	4.49846701	25.87541931
MPI	3.777157658	25.85634494
RAD23B	6.94050272	25.85469028
LLGL2	6.769313553	25.85458383
CPSF6	5.933302556	25.85156122
KPNA4	6.082982949	25.851443
TOR1AIP1	5.61567802	25.84626678
GRN	7.514021981	25.84008619
ATP6V1E1	5.975252825	25.8309099
DLAT	5.386285051	25.80383733
AKR1C1	7.816911416	25.80233316
FLII	7.389920712	25.78438397
FKBP5	6.000038958	25.77111117
ENAH	7.327048384	25.76381684
MAPK3	5.629569189	25.75649838
APMAP	5.863164374	25.73872188
PUF60	6.194965705	25.73828407
ERICH5	4.928409286	25.73278906
RALB	5.756332519	25.72828136
RAC1	7.800782399	25.72732663
FHL2	4.630859915	25.72537612
TUBB6	5.227950169	25.71590298
IGF2BP2	6.000335898	25.71460523
FARSA	5.233487126	25.70874279
NHP2	4.644918138	25.67480541
SF3B5	5.346430125	25.66329413
CSTF2	4.988821126	25.66232176
ZYX	6.097231927	25.65990557
SYTL1	6.533171356	25.6486695
PC	4.347843876	25.63434529
OSCP1	5.527472791	25.62927848
NPLOC4	6.422716965	25.61217117
EIF3K	6.59111081	25.61188335
LAD1	6.507678869	25.59446528
CYB5R2	4.052076872	25.58284826
SMARCC2	6.427772625	25.57368245
FAHD1	3.921119422	25.57168189
RANBP2	7.497706493	25.5452119
CD9	8.279053443	25.53465513
MEAK7	5.155099654	25.5342324
RBM8A	5.879033635	25.52756583
ACAA1	5.318559783	25.52673391
SMS	5.160541516	25.52086183
ATP13A1	5.579577523	25.51715974
SF3A2	4.56140489	25.51601005
DNAJB11	5.441688159	25.51065312
ETF1	6.964726018	25.48160751
TOP1	6.666901056	25.47971858
ANP32E	5.469636047	25.4783058
HCLS1	4.870025026	25.47561119
SWAP70	5.838636554	25.4666134
POLR2B	6.910063623	25.46312456
EXOC1	5.862057742	25.46141627
PCYOX1	6.111953072	25.45717365
TJP1	7.060113659	25.45230715
CASP3	6.151049799	25.44432904
PPP1R7	6.319302709	25.43782341
FARSB	4.611310577	25.42877573
TM9SF3	7.732118655	25.41171189
PCCA	4.203668699	25.38602122
DHRS7	5.103133236	25.38241066
PI3	6.465696179	25.37551055
GNAS	8.600723037	25.36716852
CPT2	4.498838397	25.36642851
PMPCA	4.990469774	25.35355262
NT5DC1	5.311096717	25.34987889
QSOX1	7.128202903	25.33988297
IRF6	7.638200377	25.33550113
PSME3	6.524482466	25.33261687
SEC23IP	5.577614409	25.32858412
BZW1	7.552334385	25.32648218
SYAP1	6.060155745	25.32573374
ALAD	5.40118007	25.31947217
ANP32B	5.92480967	25.29198497
SEPTIN10	5.582391694	25.28758982
SLC3A2	6.071161551	25.27703193
IDE	5.785769903	25.27190882
ALDH5A1	4.520795501	25.27128106
APOO	4.298456498	25.26450239
ACOT9	4.646725773	25.2574184
RPA1	5.653644067	25.25289124
OAS2	7.623239345	25.24507973
LAGE3	2.17800563	25.24411585
SIRT5	4.538423089	25.24038251
HEXA	5.674263907	25.23954243
ABCF1	5.952915433	25.22946152
C6orf132	6.365487483	25.2226541
EIF2A	5.882945565	25.22231547
DNAAF5	4.946800388	25.2162301
STIM1	5.919728845	25.18678114
SRSF7	6.483966256	25.18018276
CLMN	6.599812175	25.17867419
PPIL1	4.72861289	25.17598884
REEP5	6.815052529	25.16378979
CORO1C	6.144232062	25.15994396
OCIAD2	5.264072909	25.15921858
STT3B	7.027166722	25.14956132
ACTB	9.890331228	25.14005633
TSPAN1	9.652458265	25.13453108
NAA10	4.580114109	25.12762265
WASF2	7.099101875	25.11280471
VPS13C	7.211144998	25.10966093
CASP7	6.116548313	25.08902862
OXCT1	4.599266741	25.084848
ACSL1	6.439924398	25.07935411
CD2AP	6.202252453	25.07874459
NSUN2	5.592650694	25.07593636
VPS25	5.489296117	25.05925151
SNRPA1	3.435206493	25.05799132
UQCRH	5.391254772	25.05644785
NUP93	5.17720249	25.05224573
NUDT19	3.459163396	25.04993795
BAG6	7.405052534	25.04726188
DBT	5.134211606	25.04591783
CDK5RAP3	6.240972195	25.03443372
AK3	5.735015948	25.02904128
ADIRF	3.277207491	25.02603678
ANKFY1	6.496679776	25.02526762
ACOX1	5.60324152	25.02104911
DNAAF2	4.779115035	25.01177276
PIR	5.095657455	25.00279722
RBM4	6.488524274	24.98602479
M6PR	6.077385865	24.97899511
APPL1	5.04267807	24.96521024
C1QBP	5.795564044	24.95922079
YES1	5.869631161	24.95013759
THUMPD1	5.514684449	24.94953654
RPS18	8.423069645	24.93515834
MIPEP	5.057011417	24.92215097
GNG12	6.914218675	24.92107831
EDC4	5.543511747	24.90605492
CRIP1	6.562945595	24.88901038
HNMT	3.240438659	24.88554728
MSLN	6.762896764	24.88487274
API5	6.350058547	24.8727922
ABAT	5.17644571	24.87115305
CSNK2A2	4.279608595	24.83772961
UTRN	6.856552209	24.82741127
BTF3L4	5.1505143	24.80722552
RPL18	8.104525823	24.7915577
SRP9	7.216974187	24.78824272
GLIPR2	5.638091455	24.77353181
ADRM1	6.096333753	24.76426455
TMPO	5.616343659	24.75728858
AIP	3.97553745	24.7501151
SNW1	5.952111681	24.73959341
LGALS1	3.220152705	24.7321066
DCTN4	5.839696536	24.71221843
EXOC4	6.210848078	24.70669378
DYNLT1	7.381577533	24.69548753
CARMIL1	5.622658522	24.68996648
SSH3	5.964608163	24.68280842
ARHGDIB	4.566642296	24.66456949
SLC6A14	7.608469294	24.66159809
TNC	7.555505899	24.64257486
RPL35	7.347029831	24.62187904
ARF6	6.724815555	24.62125386
RPL22	6.24584853	24.61153257
U2SURP	6.369832745	24.6093008
RPS25	7.09807552	24.607298
USP9X	7.402675933	24.59189794
ECHDC1	5.731277742	24.58455702
PLAA	4.798649114	24.57424438
PRKCD	6.150457466	24.49600394
TMED9	6.434927433	24.47581213
IFT172	6.808547233	24.46444282
VAMP3	6.022873717	24.42639653
ARMC4	5.411001536	24.40527188
HOOK1	5.732725192	24.3979163
DENR	5.773146081	24.38572738
SNRPD1	4.565133985	24.38493085
YLPM1	6.160046312	24.36981661
MACF1	7.867976366	24.36004351
DNAI1	5.956361478	24.35970801
HSBP1	7.031246209	24.33177183
PTGFRN	6.565263667	24.32990167
MAGOHB	2.88805434	24.30956165
SH3BGRL	6.02577497	24.30918678
STAMBP	5.35747417	24.30547204
MMS19	5.552060146	24.29288452
DNAJA4	7.641162757	24.25426969
SNRPD3	6.458362254	24.25426899
HIP1R	5.848187522	24.23452222
TPD52L2	6.243146203	24.22342645
LYPLA2	5.731097305	24.2208874
CCDC170	6.852336806	24.21862783
LUC7L2	6.238892147	24.21414854
ZNF638	6.838817111	24.21350614
LANCL1	5.551784901	24.21253134
SMIM22	4.628997995	24.19933739
KLC1	5.792253941	24.19272938
ACSS2	4.877476581	24.17434866
PLCB3	5.134941211	24.14569396
RPS6KA1	5.896671395	24.12552627
PNP	4.715800271	24.10734358
ZFPL1	3.983879958	24.10707847
CHMP4B	6.898963746	24.09540217
F3	8.567606439	24.09324814
PKP1	7.344254	24.08901189
RALY	6.331341029	24.07079992
ITPA	4.73243044	24.06290875
CYCS	5.692784197	24.05937795
CFAP52	5.997598981	24.04241666
DIABLO	5.10497804	24.03796849
GAPVD1	6.751437638	24.02055966
UPK1B	8.32841696	24.00834626
CLTA	7.005925273	23.99870307
IDH3B	5.350709556	23.99528209
ERAP1	6.203726101	23.99158138
NIPSNAP1	5.085808898	23.98296415
WDR54	5.188043778	23.97971167
PON2	6.465783789	23.97706179
SARNP	4.675290712	23.97347558
TSN	5.533980494	23.9599376
TSPAN6	6.844959233	23.95932785
NASP	5.624741379	23.9509508
CRYM	3.796998016	23.94965249
EFHC1	7.500495241	23.94837897
TRIP12	7.994479627	23.93704948
CFAP298	6.747594938	23.93449027
TFAM	4.953844637	23.93348067
RBM3	6.540971088	23.93224667
TSTD1	4.846593947	23.91679229
NDRG1	5.792840216	23.90810234
CNBP	7.258219178	23.88142931
FAM114A1	5.71596405	23.85882522
CTBP2	6.660552081	23.84256682
NIPSNAP2	5.872355418	23.83745593
SNRPN	5.755303984	23.82430252
TOMM40	4.482479976	23.80325955
EBP	4.739145279	23.80119837
SLC25A1	5.067523988	23.79291959
NDUFS3	5.276467109	23.78961333
SPA17	5.874676497	23.78882597
AK7	5.909637293	23.78469253
SH3GLB1	6.784720296	23.77336452
PRMT5	5.888057219	23.76523867
VTA1	5.657765124	23.76088669
SMC3	5.676900506	23.75249331
FAM98B	4.78264427	23.75229922
AIMP2	3.980700785	23.74162225
NDUFA9	5.35227531	23.74018388
AFDN	8.030682162	23.69857644
ACOX3	4.683394515	23.67585059
EFEMP1	6.484983876	23.67517098
LIN7C	4.518660465	23.66605835
AP2M1	7.572440064	23.65766439
IPO4	5.383013634	23.64730765
CORO7	4.292447032	23.63340637
TGOLN2	7.309527825	23.63318788
VPS29	5.340893476	23.63302883
RALA	5.607982192	23.63071299
SART3	5.519482892	23.62884988
ACADS	3.293636033	23.62051864
TPM1	6.049725712	23.60580115
MYCBP	6.088283595	23.60250833
DDX46	6.096910738	23.59017193
SCAMP2	6.484207383	23.59011718
SCIN	5.312552767	23.57167362
SEPTIN8	5.508915861	23.56176554
SYNE1	6.900034844	23.55468085
TNPO1	6.649938247	23.55205094
DNPH1	4.555276052	23.55039966
XRN2	6.480538546	23.55009413
ABCD3	6.54095768	23.54549076
ENOPH1	4.830281858	23.52734461
MLF1	5.698152927	23.4990427
NDUFB10	5.241168502	23.493672
MACROH2A2	4.425899603	23.4629725
PTBP3	7.106170674	23.4494296
PFAS	3.291644604	23.44716122
ZMYND10	7.046059184	23.44304261
RPA2	4.562979382	23.44291405
RBM39	7.82134555	23.42607457
SULT1A1	2.944728246	23.39907286
FUBP3	5.633852991	23.39700871
COX6A1	6.610035612	23.38094293
DNAJB13	4.278379455	23.37980393
IPO7	6.914560637	23.36438239
DDX42	7.137554658	23.35583765
SRRM2	9.080811133	23.35573758
ACADSB	4.434601838	23.35430013
UBTF	6.379708867	23.35129429
MAPRE3	5.44588815	23.34360296
CBX1	5.412106011	23.34346081
SH3GL1	5.897459924	23.3379588
DHRS7B	4.507535814	23.31700862
PRPF6	6.374649366	23.31558472
PNN	6.559265765	23.3082577
HDAC1	6.521901267	23.30719159
LHPP	4.298654555	23.28828025
IFT27	4.734581098	23.27381704
RAB5C	6.532885483	23.26942005
EEF1D	7.162731599	23.26324781
PLEKHA5	6.450027898	23.26186987
SUCLA2	5.027213574	23.2579357
THYN1	4.671304438	23.25625331
PPID	5.044724692	23.24744576
PCNA	5.503511817	23.23899381
ERBB2	7.964553191	23.23525861
SNX5	5.46425496	23.22755572
SAMM50	5.116891094	23.22300974
MRE11	4.635429063	23.22185894
PSMD9	4.931772577	23.21989716
DERA	4.642321574	23.19095499
NCLN	5.199447217	23.17535724
RPL30	8.288459627	23.16614272
KYNU	5.2706229	23.16433367
ZMPSTE24	5.815292494	23.16192162
RBM14	5.263882627	23.15356722
IFT140	6.48846657	23.14558797
TSNAX	4.733997785	23.12259813
USP8	6.172710718	23.11973935
STARD10	6.080308641	23.11227824
GK	4.553905959	23.10829403
DDX19B	4.646613142	23.10330083
SMC1A	6.35752629	23.09818348
GSR	6.609445303	23.09001613
PTK7	6.132252051	23.08629668
POF1B	6.0639865	23.07706621
RSL1D1	6.05402603	23.05765516
SUPT16H	6.571629556	23.05247995
CPT1A	6.033044302	23.04867931
PICALM	6.688505403	23.03650245
DNAJC7	6.164576397	23.01856231
PRR15	6.024977911	23.01535904
PDLIM4	4.899652446	23.01401796
CFAP57	5.481016937	23.00408347
GRPEL1	4.547492278	22.99557855
HDGFL2	5.447106951	22.9812885
AFG3L2	5.56580283	22.97702646
OPLAH	3.752507593	22.96222102
CTBS	4.525223677	22.95557801
GNAQ	6.253598842	22.94854554
EHD2	5.790549442	22.93311724
KLC4	4.811105334	22.92541903
DPY30	5.43159136	22.92316539
AGPS	5.866845478	22.92032112
ACAA2	3.632906588	22.9182268
SQSTM1	8.960051826	22.91034986
CTSS	6.762929682	22.89597407
RMDN3	5.352681342	22.89280718
NUBP2	4.530478624	22.87928221
KIF3A	5.443215168	22.87851695
NUP205	5.921699376	22.87824523
SNRNP40	4.481150147	22.86423386
GLA	3.684062223	22.85402897
NOLC1	6.193145311	22.84797503
TIPRL	5.322092997	22.83919506
CXCL1	7.044742681	22.83573229
WDR19	6.228912359	22.83229343
TRAF3IP1	6.106462736	22.82489497
ALDH3A2	7.215821692	22.82445701
SDF4	6.501054266	22.82045005
AP3B1	5.801897022	22.80233909
PPP1R13L	5.412205723	22.8004351
IFT80	6.129939627	22.79462526
COQ9	5.390920959	22.7897421
BDH1	5.375795652	22.78409398
RBM47	6.910642413	22.77949727
CNN3	6.531428192	22.77864607
CTSA	6.07710922	22.76379334
PIP4K2C	5.506785189	22.76087761
ABHD14B	4.945201382	22.74068754
MMUT	5.370166454	22.72750918
EGFR	7.511599194	22.71254044
RANGAP1	6.304493766	22.69852817
COX6B1	6.321361546	22.67749194
CLIP1	7.538464103	22.67545398
RAB11B	6.13069732	22.67126412
CPD	8.436200254	22.66834181
IFT52	4.892957961	22.65530003
PMPCB	5.534430706	22.65280584
CEP41	4.700240311	22.65104505
GALNT3	6.174507043	22.63987494
GPS1	5.608944539	22.63553655
SLC12A2	6.561711024	22.63082931
MT2A	5.310776271	22.62057429
PTMS	6.448541076	22.61876638
DLG3	6.30408052	22.61827965
PRPSAP1	4.970604276	22.59294547
CAB39	7.137971841	22.57957831
PDS5A	6.731235401	22.56701743
CCDC47	6.527165975	22.5562961
ECPAS	6.74592673	22.54880853
NUP214	5.559762052	22.52961504
RECQL	4.670898789	22.52708452
ESYT2	6.933083887	22.51630408
NPEPL1	4.993090783	22.4920513
NEK9	5.919326302	22.49181403
PGM3	5.039689807	22.48819497
GYS1	5.206086151	22.484427
PITPNM1	7.035254468	22.48274314
POLDIP3	6.1541912	22.46616101
CAVIN1	5.919149091	22.46557242
LRPAP1	6.160296867	22.43701104
AGO2	6.062085473	22.42226187
LRRC1	5.018821728	22.41213693
ARMC3	6.576508902	22.39982473
TXLNA	6.34662909	22.39149161
PPP6R1	6.824212027	22.38757925
RPL27A	8.570270274	22.36881779
MCTS1	4.563442568	22.36777596
CRYBG1	7.143367391	22.3608655
STMN1	5.683649934	22.35345004
FAM107B	6.593976169	22.32333105
STAU1	7.053914028	22.32065911
SPRR3	4.195549448	22.31949914
COX7A2	6.036685078	22.30798605
PRRC2C	7.679067634	22.28817764
RSU1	5.520917841	22.26307541
GSK3B	6.249092043	22.2558681
EPS15L1	4.806513009	22.23855754
KIF3B	6.798911675	22.21798681
MAPK14	5.634769137	22.19111458
PKN2	6.24912749	22.18962047
RPS11	9.149980263	22.1577641
COX7C	6.25960846	22.15592374
LYZ	3.638810447	22.14969051
SAXO2	6.681607348	22.13348228
CTSH	7.325323187	22.1331738
LARP1	7.302833001	22.1320117
TRMT1L	5.266300119	22.12645253
ALDH6A1	3.421918338	22.10868141
SLC25A11	5.016481215	22.09825798
FLAD1	4.714724942	22.0825235
TPT1	10.83288093	22.0533572
STAT2	6.697220946	22.02844121
DTX3L	6.239217405	22.01641083
SART1	5.448171503	22.01112912
AKAP13	7.205007988	21.97315473
ASL	4.382663832	21.94679738
RBBP9	4.876399553	21.93705107
ROPN1L	5.735026376	21.86970574
GALM	3.90205234	21.85182229
WASHC2A	6.412822804	21.84203487
U2AF1L5	4.155486209	21.82532509
