Gene	RNA	Protein
EPCAM	6.500131301	28.59347245
SCFD1	5.795114545	28.5769222
ATP6V1B2	5.91799502	28.57481881
CNPY2	5.601551472	28.57407147
PKP3	6.09560345	28.57398346
SNX6	6.06615797	28.5697215
EIF5B	7.100872814	28.56293963
SEC23B	6.286754214	28.56261058
ARPC5L	5.388379569	28.55051731
COPG2	5.825648556	28.54834207
CHD4	7.886589387	28.54075547
HNRNPH3	6.69589619	28.53958222
SCRIB	5.650352443	28.51352464
ACADM	5.922595675	28.50628618
UBR4	7.3745829	28.50625468
IPO5	6.721441454	28.50394109
NDRG1	5.641497723	28.49917363
SCRN1	7.135577857	28.49011227
ACTR1B	5.892301908	28.48876956
LETM1	4.409523236	28.48541914
SPA17	6.78595927	28.4844361
AHCYL1	7.090828548	28.4814655
DNAI1	6.509718793	28.48143617
LGALS3	8.923317033	28.48052547
YWHAQ	7.146971156	28.46845971
USP7	6.512538107	28.46478288
ACO1	4.83838398	28.46162462
COASY	5.668199049	28.4562256
PUF60	6.126411465	28.45570363
NPC2	6.458929967	28.45103605
TPD52L2	6.24172481	28.44900952
FUCA1	5.586076016	28.44728771
SDCBP	6.74923549	28.44684579
TARS1	6.56506077	28.44568106
CNN2	6.415861545	28.44129052
U2AF1L5	4.114071102	28.43879791
S100A6	9.923517323	28.43667703
BPNT1	5.203567773	28.43450501
CIRBP	7.152779664	28.43303258
BCAS1	6.971683056	28.42145204
BROX	5.434952995	28.42078006
CAPRIN1	8.205825855	28.41657075
USP14	5.357200314	28.41652826
CAMK2D	5.243834443	28.41607663
PRPS2	5.421052706	28.4145578
VPS26A	5.911644022	28.41350188
TSN	5.557692367	28.40361803
LLGL2	6.619979141	28.395236
SF3A3	5.790286325	28.38690671
BLVRA	5.127701478	28.3838486
VPS28	5.487125318	28.38335269
BCLAF1	7.395117924	28.38250466
IFT172	7.349462828	28.37470661
TUBA4A	5.000457215	28.3734207
NDUFS2	6.462327347	28.37328081
ARPC4	6.126301294	28.37159088
KRAS	5.136795271	28.37119704
DIABLO	5.08873315	28.35524684
CPSF6	5.817993859	28.34545796
LMO7	7.798868042	28.34254423
EEA1	5.351261926	28.33378523
NNT	5.604165029	28.3326335
TSG101	6.427184655	28.32618861
ELOC	4.681350003	28.3258603
HEBP2	6.483049773	28.32371202
PSPC1	5.395493153	28.32159835
ENAH	7.409464136	28.3177685
NDUFS3	5.64837555	28.31722759
AP2A2	5.240881175	28.31636443
IDH3B	5.631762196	28.31542585
ARFIP1	5.768460505	28.31245499
GRN	7.107297588	28.31231016
TSTD1	5.388667913	28.30922858
SEC61A1	7.493328754	28.3010864
GNAI3	6.059946387	28.2984844
TALDO1	7.060966985	28.29560049
EIF3G	6.046013042	28.2922003
LRRC46	7.144824475	28.28896534
DDX6	7.464221222	28.2874391
TWF2	4.431762464	28.28167018
RPL27A	8.708724183	28.27912985
DNAJC3	6.29894643	28.27681734
EIF3E	7.569659104	28.27677967
FAM83H	6.347255183	28.27267826
TPM3	7.286279111	28.270557
TRAP1	5.672460359	28.26848572
TOMM34	5.834885398	28.26633531
AP1M2	5.968350876	28.25468011
DNM1L	5.686204494	28.25115337
SNRPD2	6.250687428	28.24717904
CLIC4	5.973140592	28.2459853
NDUFA9	5.552710575	28.2388636
GMDS	4.454927362	28.2359691
LAMTOR5	5.748193024	28.22922927
TUBB6	5.141094216	28.22449848
VPS29	5.601625435	28.20716324
IMPA1	4.74242098	28.2035773
BAG3	5.940949526	28.20264747
ERAP1	6.141049218	28.19889034
PDXDC1	6.947848711	28.19842958
OSBP	6.254937511	28.18695114
GNAI1	5.990361547	28.18677033
MTDH	6.529526199	28.18210155
ATL3	5.211411514	28.18156389
FAM98B	4.965373717	28.17655082
COPS6	5.735882939	28.16806507
CCAR1	6.591579355	28.16578823
RPS6KA1	5.974581444	28.16575725
SRRT	5.873198283	28.15714753
SERPINF1	6.76150104	28.14699126
MOGS	5.413509434	28.14156591
STXBP2	5.552339557	28.13896507
COPS3	5.306362303	28.1253974
IPO4	5.417687907	28.12225933
TFG	6.214456904	28.12177413
CFAP52	6.723034832	28.12166442
SEPHS1	5.416739567	28.11124577
NAE1	5.023433875	28.10664694
SPAG1	6.544599544	28.10511058
METAP2	6.463035803	28.10482057
COPS4	5.321865009	28.10349481
CDC5L	6.365155346	28.10230776
DNAJA2	6.006431931	28.10221773
NDUFA10	5.98957983	28.10101209
SAE1	5.874502677	28.09608727
ARL8B	5.709996882	28.0950227
ARF5	6.354037483	28.08963999
FAM114A1	5.675608636	28.08945575
PRMT5	6.176948076	28.0808247
AP3D1	6.480911738	28.08071424
ACAD9	4.895583048	28.07986163
IPO7	6.933572113	28.07773298
PARP4	7.414591566	28.07603211
RPL6	7.917729521	28.06056861
COPZ1	6.408130186	28.06010239
FARSB	4.760873571	28.05298974
SFXN1	4.309305213	28.052566
ENOPH1	5.099556694	28.04792415
ITGB4	8.286300276	28.04622287
IDH3G	5.020880994	28.045577
AK7	6.752925623	28.04216236
NASP	5.690391127	28.0370127
SET	7.787764076	28.03678363
RPL7A	7.759195172	28.036701
GBE1	4.652350753	28.03375049
CD109	6.646827178	28.03265968
RBBP9	5.214097691	28.03239018
KPNA4	5.979497122	28.02277576
F3	7.969187938	28.02257078
DLST	5.838709652	28.01348773
RANBP2	7.565033363	28.01059689
PLXNB2	8.995312587	28.00480035
STING1	6.037970277	28.00346087
SF3A2	4.096366133	28.00124874
VWA5A	6.435123937	27.99425423
AP1G1	7.021496843	27.99087973
TOM1	5.667008396	27.9731029
GGCT	4.967242288	27.9717446
ACADS	3.517518767	27.9627813
PUDP	4.728748306	27.95829035
FLII	7.311276649	27.95438132
FAHD1	3.904758749	27.95368995
KPNA3	6.190191866	27.9536663
GARS1	5.672076961	27.95285209
PITRM1	5.832445434	27.95015987
GAPVD1	6.755868268	27.94870915
BAIAP2L1	6.686615919	27.94539352
RPS20	8.400313568	27.94408551
NDUFB10	5.337892347	27.94390489
CGN	7.23670189	27.93814866
CKAP5	6.852810121	27.92222696
CFAP298	7.186314811	27.91591723
PON2	6.539168766	27.91440883
AP2B1	7.364846258	27.91404942
ALDH16A1	5.111377194	27.9107151
EPHX2	4.399624152	27.9058078
S100P	6.480202028	27.88786177
EIF2S2	5.746221806	27.88245097
DNAJC8	5.972803419	27.88182001
ITGA2	7.993358721	27.87985069
SLC25A13	4.401199858	27.87703449
SMARCC2	6.208949143	27.87523329
HMGCL	5.087610937	27.87086152
NDUFA12	5.255424195	27.85909071
PML	4.952143982	27.85438792
SRRM2	8.817744239	27.85367038
SRP72	6.154760179	27.84826924
COX4I1	7.417003995	27.84422395
PTBP3	7.106945636	27.82976258
AFDN	8.132568961	27.82839388
RBM25	6.633970204	27.82536208
SLC25A4	5.310275875	27.82479014
ABCD3	6.69929287	27.82073954
MPP7	5.676659537	27.81953276
NT5C2	7.022539434	27.80620232
IGF2BP2	5.779382357	27.80588364
SRP68	6.0737053	27.79785867
NPLOC4	6.176114087	27.79582759
UFL1	5.857264151	27.79269448
ATP6V1E1	6.341589939	27.77733665
FARSA	5.235631218	27.77370928
NSDHL	4.772362343	27.75585031
SEC23IP	5.690485966	27.7520663
DNPH1	5.034505468	27.72725012
SPR	4.053125484	27.71791811
NDUFB5	6.26034085	27.71090437
OPA1	6.11969125	27.70323152
DIAPH1	6.593394021	27.70104825
RBM39	7.781212412	27.69696016
RAB5C	6.570756759	27.69216803
SEC24C	6.277344777	27.68752844
PRPSAP2	4.018207508	27.68618208
RPL11	9.119985484	27.67955461
PURA	4.976200556	27.67806853
MEAK7	5.30646527	27.67781902
PC	4.211471938	27.67724931
KIAA1217	6.709480535	27.67529421
ABHD10	4.933723459	27.66486585
PRXL2A	6.303700057	27.6621237
MCU	5.604331977	27.66084454
EEF1D	7.263611457	27.65223213
GSR	6.483427888	27.64174882
ZYX	5.515231675	27.63993968
MCCC1	5.098661006	27.63756138
SLC25A24	6.528576704	27.62901734
NHP2	4.627199689	27.62347201
S100A16	7.087818208	27.6194751
ANP32E	5.651415533	27.61431605
SMS	5.08558723	27.60997544
DGKA	5.909484245	27.60925229
MAPK3	5.930781321	27.59751025
TMED4	5.905334572	27.59621701
ITPR3	6.923452267	27.59600904
ACBD3	5.838554714	27.59250023
EXOC1	5.9887445	27.58441685
YBX1	7.560938127	27.57969708
STAT1	6.89488748	27.56434644
ILVBL	5.070342203	27.55537106
POLR2B	7.362780372	27.53944418
DSTN	8.206925277	27.5307901
BCAP31	6.782072487	27.51174391
SAMM50	5.285902491	27.51085928
RPA1	5.777432336	27.50893338
SCAMP1	5.746013866	27.5067972
ACTL6A	5.586813736	27.50610023
NDUFV2	5.614019594	27.50464775
ZMPSTE24	6.011430855	27.48740632
CSTF2	5.069231382	27.47736703
SH3GL1	5.6646384	27.47544466
LMAN2	6.457027863	27.47350754
ADAR	7.587364611	27.4652708
STT3B	7.018896211	27.46223095
TM9SF3	7.725042801	27.46136085
PPP1R7	6.6466899	27.44912379
PRKAA1	6.389450641	27.43382244
PRPF6	6.41430308	27.4309168
SLC3A2	5.572033453	27.42767312
FUBP3	5.557189354	27.41810072
DYNC1LI1	5.255428996	27.4154753
MAP2K2	5.390327014	27.41320508
PABPC4	6.019641052	27.41227202
SSR4	6.150123741	27.40550565
CPNE1	5.705173628	27.40487567
VPS13C	7.499606609	27.39471324
ABCF1	5.567114929	27.3923735
GOLGB1	8.414068742	27.38888501
BCKDHA	4.637198221	27.38608454
RBM14	4.983639864	27.3810331
SUMF2	6.138773971	27.37919171
SNRPA1	3.676301568	27.36883136
PMPCA	4.993017785	27.36670399
MTX2	5.240762155	27.36395898
CORO7	4.463749014	27.36276103
CORO1C	6.055672271	27.33323295
ACAA1	5.330051311	27.32872542
MRE11	4.998607889	27.30139646
MGST1	7.299309536	27.28347258
MYO1C	5.874207763	27.27780624
FKBP2	5.109853267	27.27557386
ERH	6.081699597	27.2723811
NMT1	6.275058515	27.26677612
HDHD2	5.002476238	27.26169427
PKP2	5.382665652	27.25865077
CBX1	5.346916347	27.25362166
FKBP5	5.984993656	27.24823169
DDX19B	4.681215612	27.24596694
FKBP4	5.938536439	27.24369079
NOMO3	6.182496575	27.24311646
ADK	4.71558893	27.24016682
TSFM	4.165800666	27.23092756
MIPEP	5.563881041	27.22343378
RMDN3	5.396720504	27.21608394
DHRS7	5.197771462	27.21323378
PSMD5	5.08149722	27.21052722
MARCKS	6.850243591	27.19237765
FAF2	5.788514553	27.19123833
CARMIL1	5.661875306	27.18792138
KPNA6	6.361041529	27.18660672
DBT	5.243741258	27.17389103
RPS19	8.523096973	27.17312741
DNAL1	6.51480941	27.15193842
COPS8	5.377312285	27.14164069
RBM47	6.889710046	27.13765304
SEC16A	6.69946076	27.12860706
CD2AP	6.204754555	27.10958123
NUP155	4.697120816	27.10726661
GTF2I	8.739677455	27.10634928
ACOT9	4.770960349	27.10315879
PFAS	3.106037789	27.10111939
RCN1	5.45329986	27.08560601
SNW1	6.214827377	27.0829052
TECR	5.786496816	27.06543036
NUBP2	4.518173941	27.06519834
PCBP2	7.646501158	27.05551804
LIMA1	7.427132494	27.04897274
ACSS1	5.642561219	27.01842269
SYAP1	6.421726772	27.01720756
CALU	6.464015327	27.00547399
XPO7	6.161411267	27.00039405
TCEA1	4.522200643	26.99518788
FKBP3	5.414159795	26.99482703
NT5DC1	5.601149707	26.99110248
GFM2	6.941679982	26.98714753
MGST3	5.734460904	26.9832988
NUP50	6.53898597	26.98250998
RPL19	8.814703329	26.97708944
RPL23	8.422744585	26.97642097
UQCRH	5.611464104	26.9608667
ATP5PF	5.891950865	26.95936093
S100A8	5.308812929	26.95869463
ARFGEF1	7.005666442	26.9482325
RPL38	7.151495702	26.92731938
FCGBP	5.721956795	26.91578288
CCDC47	6.736732464	26.91215868
NUDT19	3.1867037	26.91064956
TIPRL	5.507048893	26.90970674
RAB11B	6.079642727	26.8904714
STRBP	6.702778791	26.88380624
ABCC1	6.226247917	26.87827424
EDC4	5.347742154	26.82686802
RTRAF	6.377710068	26.82271096
PIGS	5.44141921	26.80791751
PTPN6	4.964121779	26.79355688
USP9X	7.080452348	26.78865532
PI3	6.46591251	26.78218917
CSNK2A2	4.020818516	26.7732494
NHLRC2	4.897739195	26.75734892
RPL18	8.015804277	26.75456553
ATXN10	6.599747423	26.75249207
PAFAH1B1	7.082677832	26.74394618
COX6B1	6.634207624	26.74036998
OXCT1	4.597669737	26.74000755
STUB1	5.726360859	26.73495132
BZW1	7.76507616	26.7225815
LASP1	7.643735914	26.71725702
SRP9	7.494279428	26.70575717
ETHE1	4.317680161	26.70006942
GPX4	7.524523977	26.68213078
RPS27A	7.6867642	26.67582239
SRSF7	6.526068955	26.67300282
RBMX	6.376610992	26.67188922
STAU1	7.160589353	26.6634134
RAB2A	6.297410026	26.65504909
PLAA	4.609303999	26.64682793
BTF3L4	5.273623894	26.64561012
ECHDC1	6.017488364	26.64423452
TACC2	6.945332935	26.64015917
ARF6	6.485211253	26.63984046
PURB	5.339834291	26.63073304
MB	4.440226208	26.61896775
RPS28	3.851705687	26.61611227
TAF15	6.754799162	26.61056429
NCBP1	5.072002539	26.60272279
PDS5A	6.779353793	26.59758047
CDC37	6.773548205	26.59001757
ADSL	4.95883063	26.57576432
SPTBN2	6.920606927	26.57460033
SLFN5	7.240437813	26.56626051
GSTO1	5.184616501	26.54586594
C1orf87	5.228872459	26.54477398
GALNT3	6.350811444	26.53903674
DHX15	7.031588293	26.53840552
EIF2B3	4.129289809	26.52907038
SH3BGRL	6.245203799	26.52222523
NAMPT	5.990457806	26.50890962
ADIRF	3.397930274	26.49404781
RPS11	9.353334039	26.4882621
PSMD6	5.959791404	26.48695937
CSRP1	5.514049876	26.47959141
SLC6A14	7.658063406	26.46957724
B2M	10.35355389	26.46747869
PDLIM5	6.503131421	26.45580867
TXNDC5	6.597072757	26.44450639
VPS37B	5.708198776	26.43887897
GGA1	5.289362271	26.43800835
NDUFA8	5.388169975	26.43446066
MAPRE1	6.174866007	26.4286892
TTC25	6.463183189	26.42337405
EML4	6.197329439	26.42176528
HOOK1	6.068131593	26.40073821
RPS18	8.625168898	26.37284339
PPP6R1	6.87885962	26.35897896
GOT1	4.927294645	26.3560651
CST3	6.526988806	26.35557999
PCK2	3.849056645	26.35022382
RPS21	6.989682455	26.33366456
ME1	3.585101846	26.32170014
CCDC170	7.443878394	26.3115367
PCCB	4.901191943	26.31147286
PSMA1	6.173361302	26.30435632
SLC25A5	7.254746202	26.30037357
PHPT1	5.195700071	26.29428041
ARPC1A	6.585897296	26.28934293
CRIP1	7.057768695	26.27906295
JPT2	8.369846342	26.27507197
VAMP3	6.063290939	26.27237614
GLUL	10.32211498	26.25592204
SRP54	6.216310705	26.25327373
STOM	7.295967447	26.24984368
SLK	7.656887219	26.24793236
LANCL2	4.431440261	26.23388105
PYCARD	4.193862702	26.21981348
SAXO2	7.422849535	26.21261076
NSF	5.554914072	26.20472011
EIF4B	8.143818704	26.20411827
TNC	7.09222478	26.20345024
NOL3	3.448255521	26.19410763
RPL9	6.837238974	26.17983713
PNP	5.075054427	26.16477695
TJP2	7.101319524	26.1309847
VPS4B	6.363214808	26.11738606
SPACA9	5.904324308	26.10695246
FAM162A	5.184714777	26.10126653
NME1	4.902291343	26.10004257
SLC25A11	5.003577339	26.09750617
ABI1	6.558996473	26.09106769
IFT74	5.803153579	26.08695093
SNCA	4.191239668	26.08501022
NDUFA5	5.831725854	26.0826662
BSG	7.60959446	26.07847346
LANCL1	5.80045364	26.06511916
EFHD2	6.411715665	26.05612009
HIP1R	5.790298098	26.02876566
ADAM10	6.800597065	26.01983128
IVL	3.620774703	26.00237506
DHRS9	8.593709709	26.00028544
HMGN2	5.687650444	25.99066566
RAD23B	6.88065301	25.98173225
LRRFIP1	7.348255493	25.96826459
MVK	5.219602447	25.9642598
PLCB3	4.714891737	25.96402939
WASHC2A	6.456357586	25.9586314
YBX3	7.064507102	25.9311806
CNBP	7.420896473	25.92166539
MACROH2A2	4.345090085	25.92085711
NOP58	5.415143118	25.91425641
ARPC5	6.455581141	25.8968787
ARMC4	6.143062647	25.88916425
HACD3	6.749421424	25.88325971
ARL6IP5	7.008050362	25.88253196
PSMD10	5.824456621	25.88234611
RBM3	6.494171967	25.86207717
KLK11	5.953672041	25.85283727
SCIN	5.388512762	25.85022049
PYM1	4.355274608	25.84078661
LYZ	3.68907479	25.84039903
DDRGK1	5.435770902	25.83825939
PSMA4	6.802266608	25.8323385
MAVS	6.835651532	25.82930954
SUB1	6.059687853	25.82825129
PDAP1	5.653386798	25.81366552
TMEM205	5.085181124	25.81222509
GFPT1	6.706550611	25.80700181
NUCB1	6.22815677	25.80067308
ROPN1L	6.242110151	25.79735648
TPT1	10.93532399	25.7913573
EFHC1	8.291633605	25.78462828
PLEKHS1	7.766769866	25.78461171
GLRX3	5.507146917	25.78335165
PTGFRN	6.306678649	25.7825499
MRPS31	5.628178946	25.76823685
CD44	7.653053514	25.75893157
HMGN3	7.463209951	25.75344854
LSM2	3.10699165	25.74246961
PCYOX1	6.064064724	25.74233944
EBP	4.529485642	25.73653919
ZNF185	5.553275939	25.73293944
COPS2	5.997923966	25.72878691
PITPNB	5.52669957	25.72589606
APMAP	6.014273742	25.71474248
HMGB3	6.099839845	25.71178714
SERPINB13	5.533287887	25.70857913
GCLM	6.14998159	25.69494795
IL18	5.082603617	25.69309711
ITPA	4.812056994	25.6771712
SNRPD1	4.866799795	25.6722622
WDR54	5.755798186	25.6702984
GMPS	4.884445896	25.64502975
RAD50	6.341359166	25.63461484
HSPB11	5.560749131	25.62725645
ABCE1	5.613806795	25.62484288
UBE2I	5.6350123	25.62425149
BCAM	6.297920415	25.62141668
PKP1	6.842187625	25.61494192
NIPSNAP1	4.889589044	25.60982162
DLAT	5.473089979	25.60675591
ALDH6A1	3.073754422	25.60549224
ATAD3A	4.69442075	25.60319932
AIMP2	4.062818842	25.59965295
NIF3L1	4.825738977	25.59270238
VTA1	6.016644261	25.59182704
TJP3	6.96061444	25.59079158
TMED7	5.858771747	25.58897108
TOR1AIP1	5.638467076	25.58891098
ACSF2	4.515518547	25.58226142
GLB1	5.976408943	25.57033481
GOLM1	8.350496338	25.56904991
HSPBP1	6.543143493	25.56790879
DSC3	6.39816128	25.56185698
NUCKS1	7.645426207	25.56185433
PITPNA	6.345146574	25.55514413
RCN2	5.997442661	25.54881188
PRKRA	4.673166694	25.54834531
ME2	5.08819942	25.54723214
TSPAN6	7.346317964	25.54466156
ZMYND10	7.467085649	25.53328774
CNP	5.431197465	25.52957302
PRKACA	5.021478673	25.52784433
DDI2	6.48869088	25.52758274
CD59	9.906802789	25.52348872
EHD4	5.509683366	25.52082437
PNPO	4.127740931	25.51840174
SYNE1	7.533453624	25.51456264
TUBA1C	8.545679524	25.50621876
GNAS	8.470836213	25.49967815
PPME1	5.252189071	25.48420758
CSNK2B	5.678584825	25.47841513
EIF5	7.801950387	25.47683492
TNPO1	6.8633536	25.46345358
VASP	5.458224696	25.42804689
HCLS1	5.064575345	25.41721974
RBM8A	6.031489818	25.41525709
CARS1	6.734751637	25.39295543
RNASET2	3.49852759	25.38688451
PPM1G	6.514796263	25.37944637
GOT2	6.127357173	25.37482894
IFT81	6.085292017	25.37207845
MAPRE3	5.810047075	25.36315535
SF3B5	5.738625179	25.35361033
RNPS1	5.084561572	25.34253829
DYNLT1	7.884197839	25.3355244
IVD	5.055453326	25.32655937
DPYSL2	2.454150671	25.32062113
ACOX3	4.710392025	25.30580319
SWAP70	5.763068488	25.30398594
RALB	5.921679457	25.30294662
DNAJB11	5.407652438	25.29976604
KIF13B	6.530264631	25.29587288
TOMM40	4.203379665	25.29325731
PLEKHA5	6.401155047	25.2651481
SMC3	5.995786308	25.24637935
THYN1	5.156620702	25.24597663
CTBP2	6.593904026	25.23440827
PDCD6	6.064777283	25.2264652
BID	5.446906887	25.2239654
SEPTIN8	5.358773773	25.22129271
SCAMP2	6.378549603	25.22053361
ACADSB	4.703233726	25.21986292
SERPINB2	6.4751972	25.21051117
CYB5R2	4.121634879	25.21003716
IFT27	5.212596074	25.19707305
PNN	6.749210977	25.184106
MBOAT7	5.855546281	25.17206987
DHRS7B	4.932576524	25.17047287
EIF3K	6.805775324	25.16401285
OSCP1	6.099911149	25.15811552
CES2	6.505066825	25.15719303
IRF6	7.581616271	25.1561652
LAMTOR1	5.328766901	25.15437165
TMEM43	5.686343113	25.15225022
ACP1	6.026413302	25.12068382
RPS23	7.456514415	25.11924646
TJP1	6.481648722	25.11541754
SAR1A	6.171318606	25.10320262
EIF4E	4.34728133	25.10207383
SART3	5.259212189	25.09995676
ARMT1	4.947904498	25.09763228
NOLC1	6.12288202	25.09397654
RPRD1B	4.952952824	25.09196484
SUPT16H	6.696458613	25.09092862
DDX42	7.264677196	25.08318405
SH3GLB1	6.695020652	25.06697348
AKR1C1	8.263323316	25.06527436
CD81	7.153652772	25.06074556
PSMD8	6.744899963	25.05416079
COX6A1	7.036951521	25.04996132
SRRM1	5.785989464	25.04130511
UBXN1	5.928800088	25.04073082
TXNRD1	7.794237099	25.02887594
HEXA	5.799856206	25.02330968
PICALM	6.554369327	25.02158305
PCNA	5.757431697	25.00123856
AGRN	7.640681541	24.99915549
HNRNPLL	4.794557293	24.9785018
CDV3	6.562051899	24.96400366
CAPN13	7.736805582	24.94910291
TBCA	5.862109145	24.94756145
SNX2	6.167033313	24.93035187
ATP13A1	5.258665071	24.92914925
CPT1A	6.078438826	24.92217458
CPT2	4.470562704	24.92130829
NME9	4.691419723	24.92090711
DNAAF5	5.061651651	24.91157191
ENOSF1	5.674696325	24.90428579
FKBP15	5.846767539	24.90111352
NAA10	4.592684673	24.89686361
SPEF1	5.734955749	24.8955529
ASPH	7.02555627	24.88543901
XRN2	6.870461917	24.88373648
BAG1	7.077143959	24.85742347
AFG3L2	5.574589051	24.85048649
PSMD9	4.994961835	24.8455695
SPRR1B	5.230509362	24.83809869
NUP93	5.332620144	24.83262166
THUMPD1	5.594769145	24.8189889
CAPN5	5.805863248	24.81640345
GDA	5.735901462	24.8108197
BAG6	7.242883092	24.80255513
LYN	5.691150534	24.80213939
SIRT5	4.663296428	24.79765405
SPTLC1	6.321146191	24.79641214
PRRC1	6.139024657	24.79258566
STX4	4.411404524	24.78973115
DCPS	3.904677639	24.78295767
FXR1	6.926330059	24.78210818
VAMP8	7.407345555	24.78039861
PACSIN2	6.377786094	24.77908775
SULT1A1	3.330484872	24.77322918
CLMN	6.858925943	24.77202326
NT5C	3.950754798	24.76890236
RAC1	7.698781248	24.75949448
ETF1	6.939518999	24.74808623
FARP1	5.584081024	24.74082333
EIF2A	6.179615184	24.73287346
HDAC1	6.527346281	24.72892689
NSUN2	5.364792337	24.72602741
CFAP20	5.978817442	24.72340135
PPID	5.095001921	24.71612837
DNAAF2	4.945139186	24.70031836
HDGFL2	5.532159666	24.6919747
CZIB	4.301300994	24.68033577
PRODH	2.511213427	24.67900798
ERBB2	7.828751408	24.67890769
PPT1	5.804872785	24.67659064
RSPH14	3.99713937	24.67536681
UROD	5.362919045	24.67384956
IFT57	7.664696385	24.67151442
HDHD3	4.239374857	24.66630036
SON	8.242670709	24.6618918
ARF4	7.011039953	24.66016405
TRIP6	5.443382816	24.65593157
RSL1D1	5.951044678	24.65191567
CASP3	6.383868935	24.65067745
CBR4	4.913566777	24.64544182
AP3B1	5.84030871	24.63039108
SURF4	6.25921289	24.61439858
STK38	6.921084072	24.6083453
TRIP10	5.788941292	24.60728453
UBXN4	7.597229948	24.60518512
SPATS2L	7.013330243	24.59760918
ACOX1	5.541131662	24.58179179
UFD1	4.945481169	24.5744871
EIF4G2	9.819104225	24.56802683
YES1	5.752858641	24.56031354
HDHD5	3.822724052	24.54022133
ECPAS	6.696978977	24.53634866
AGPS	6.146035431	24.53310793
CASP1	4.624570602	24.52840737
EEF1E1	3.90141835	24.51660777
DYDC2	6.104927226	24.51185754
SSH3	5.889377625	24.47583107
SLC44A4	8.70177111	24.47377351
MMAB	4.972205878	24.47299707
OPLAH	3.496265797	24.46260061
SGPL1	6.43473507	24.46047079
PPP1R12A	5.352721426	24.45333853
USP39	5.145260442	24.44932048
ACSL1	5.998417072	24.44902387
MTREX	6.308844063	24.43831199
CTSA	5.878056835	24.4326702
PBDC1	5.028589576	24.42022668
RECQL	5.123686518	24.4019911
ACOT1	2.896152332	24.39775538
U2SURP	6.445858252	24.386558
REEP5	7.031079242	24.38287217
UTRN	6.978325556	24.37698884
NUP214	5.477897363	24.37175672
TUBG1	4.941222231	24.35715489
DPCD	6.265536993	24.35372102
PTMS	5.975011173	24.33792958
COQ9	5.363279255	24.30535246
HCFC1	5.838139419	24.30173447
HMGA1	6.760067591	24.29483481
NDUFS4	5.090986907	24.2873298
PRRC2C	7.567813058	24.2819428
PPP1R14B	4.611722344	24.26605149
RSU1	5.844004975	24.26379866
POLDIP3	6.175610605	24.26185858
MAGED2	7.798736876	24.25945552
PRPSAP1	5.092632005	24.25044411
GNAQ	6.243592686	24.24993797
RHOC	7.083840388	24.2455301
ACTB	9.448862614	24.23835758
HDAC2	6.840734084	24.23540257
ESYT2	7.1122095	24.23152565
RAB3GAP1	6.472072393	24.22929578
DRC3	6.740636246	24.22072619
CDC42BPB	6.932817181	24.21935406
MYO5B	7.435311099	24.21713569
HMGN1	6.633108996	24.2014365
INPP1	4.254473681	24.1957836
SUPT5H	6.553254215	24.17679693
SSRP1	6.851393178	24.16944824
EXOC7	7.20531617	24.14676821
COX6C	6.349943737	24.13715327
SKIV2L	5.243864885	24.101189
OXR1	6.282307301	24.07496126
MARK2	5.652821364	24.02020421
NUP62	5.173328159	23.98581948
CCDC39	5.585961411	23.9761335
MAPK14	5.579338096	23.97567282
CYCS	5.846247127	23.97064924
TSPAN1	10.21433847	23.96123886
EMC1	4.941488812	23.95748629
YLPM1	6.028830025	23.93612371
RPL27	7.962376502	23.93589993
OLA1	5.340351305	23.92191009
NEDD8	6.017495882	23.89536987
MMS19	5.616149167	23.8771115
NUP107	5.128803081	23.87199418
LRRC1	4.90958092	23.81978807
DNAJC10	7.578051936	23.81505016
TTC37	6.758580415	23.79235381
SLC25A10	4.437153176	23.77894201
RPL21	6.861443801	23.77232226
MICU1	5.167615635	23.76922887
MYCBP	6.737273779	23.76303414
RPL14	7.734602296	23.76112764
STMN1	5.741026948	23.72307101
SLC25A12	4.624678139	23.70934825
SSR1	6.606749131	23.701284
CCDC181	4.833557693	23.6840363
PFKM	5.2795802	23.67638322
KDM3B	6.922168282	23.65484204
COX5B	6.496969133	23.64375221
PPP2R5E	5.16922865	23.62885249
OGFR	5.147779546	23.62592504
RAB6A	6.514714185	23.62357142
PSMF1	5.728879799	23.6215245
RPS16	7.893613629	23.62126928
SDHB	5.815996	23.61179452
SNRPD3	6.734516783	23.61066247
RPL35	7.413023403	23.60469643
TGM2	6.037426037	23.60342915
FNTA	5.52954904	23.59781083
CSTF3	5.068700244	23.58538735
ALDH1L1	5.47120296	23.56549518
STXBP3	5.340704429	23.55988412
CHCHD3	4.805270611	23.55665213
COX7C	6.679700274	23.55140263
SLC39A7	6.541022804	23.52604576
COMMD4	4.550450001	23.52110724
MLF1	6.529686697	23.5051825
SARNP	4.989957227	23.50485758
LARP1	6.942856523	23.47360869
IGFBP7	7.697302481	23.47086415
TMED9	6.520956348	23.4626418
CLUH	5.785191321	23.42317193
BAG5	5.365539869	23.41794688
NUP153	5.976962066	23.37625872
NDUFAB1	5.455320952	23.33038136
CUL1	6.215652158	23.32524595
RAE1	4.286052224	23.32462379
CLTB	6.416015385	23.29907492
CISD1	4.799471121	23.29018843
FBP1	3.644437417	23.2512003
ATOX1	3.983931217	23.24749096
UFM1	6.297056547	23.24037987
EIF3M	6.561881803	23.23777655
