© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Workspace	My Projects
Project	AlexC
Analysis	MockvVirus_DEP - 2020-10-08 04:50 PM
Date	Wed Oct 07 22:44:01 PDT 2020
Analysis ID	19812273

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.267 and up regulated 0.267
Cutoff for Expression pvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
PTGFR	G-protein coupled receptor	 	3	 	 	-0.316	5.15E-08	8.00E-04	AR,ARRB1,BCL6,CEBPB,CREBBP,CTNNB1,EGFR,ERK1/2,ESR1,FOXO3,GATA1,GSK3B,HIF1A,KRAS,MAPK1,MITF,MKNK1,MYC,NEDD9,NFE2L2,NR1I3,ODC1,p70 S6k,PGR,PPARA,PPARG,PTGFR,RAF1,SP1,STAT6,TCF3,TP53,WBP2	ALCAM,CASP3,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,GNAQ,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MACROH2A2,MANF,MBP,MECP2,MYCBP,NPEPPS,NUCKS1,NUDT21,PABPC4,PCMT1,PDAP1,PLS1,RANBP2,RPS12,S100A6,SEPTIN2,SH3GLB1,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	40 (33)	32	 	caffeic acid phenethyl ester	 	EGFR,FOS,OXTR	 	 	 	 	 	
Klra7 (includes others)	transmembrane receptor	 	3	 	 	-0.324	5.22E-08	4.00E-04	26s Proteasome,AR,BCL6,CEBPB,CNR1,CREBBP,CTNNB1,EGFR,ERK1/2,ESR1,FOXO3,GATA1,GSK3B,HIF1A,IKZF1,Klra7 (includes others),KRAS,LCK,MAPK1,MITF,MKNK1,MYC,NFE2L2,NR1I3,p70 S6k,PGR,PI3K (complex),PIK3CA,PPARA,PPARG,RAF1,RB1,SP1,SYK,TCF3,TP53,tubulin (complex)	ACP1,ALCAM,ATP6V1F,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,DYNLT1,EIF3D,EIF3G,EPS15,GNAQ,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MACROH2A2,MANF,MECP2,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,OAS2,PABPC4,PCMT1,PLS1,PRDX2,PSMC2,RANBP2,RPS12,S100A6,SH3GLB1,SNRPD1,TCP1	38 (37)	36	 	PSEN2	 	CASP4,IFNG,PI3K (complex)	 	 	 	 	 	
PSMD4	other	-0.132	3	 	 	0.632	5.96E-08	7.00E-04	AR,CEBPB,DDIT3,E2F1,EGFR,EPAS1,ERBB2,ESR1,FOXO3,GLI1,HIF1A,HSF1,Mapk,mir-145,MYC,NFE2L2,NFKB1,p70 S6k,PSMD4,RB1,RELA,RUNX2,tamoxifen,TP53	ADD3,ATP6V1F,BID,CLIC1,COG7,COX5B,CPNE1,CSNK2B,DFFA,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,FAM120A,GNAQ,HADHB,HMGCL,IFT140,LARS1,MACROH2A2,MANF,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,OAS2,PABPC4,PCMT1,PLS1,PML,PRDX2,RANBP2,RPS12,SCIN,SH3GLB1,SNRPD1,TCP1,UBA1	40 (24)	21	pirinixic acid,UCHL5	 	 	CD69,Mapk	 	 	 	 	 	
Egfr-Erbb2	complex	 	3	 	 	-0.480	6.55E-08	6.00E-04	26s Proteasome,AR,CCND1,CEBPB,CTNNB1,EGFR,Egfr-Erbb2,ERBB2,ESR1,GSK3B,HIF1A,KRAS,MAPK1,MYC,NEDD9,NFE2L2,ODC1,p70 S6k,PGR,PI3K (complex),PIK3CA,PPARG,SP1,STAT6,tamoxifen,WBP2	ALCAM,CASP3,COG7,COX5B,CPNE1,CSNK2B,DYNLT1,EIF3D,EIF3G,EPS15,FAM120A,GNAQ,HMGCL,HSPA2,IFT140,MANF,MBP,MECP2,MLF1,MYCBP,NPEPPS,NUCKS1,NUDT21,PABPC4,PCMT1,PDAP1,PLS1,PRDX2,PSMC2,RANBP2,RPS12,SCIN,SEPTIN2,SH3GLB1,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	39 (26)	25	EGF	 	 	PI3K (complex)	 	 	 	 	 	
4,4'-diisothiocyanostilbene-2,2'-disulfonic acid	chemical drug	 	3	 	 	-0.973	7.03E-08	1.00E-04	26s Proteasome,4,4'-diisothiocyanostilbene-2,2'-disulfonic acid,APP,AR,CEBPB,E2F1,EGFR,ERK1/2,ESR1,FAS,FOXO3,GATA1,HIF1A,IFNG,Jnk,KLF4,LCK,MAPK1,MAPK3,MAPK8,MKNK1,MYC,NEDD9,NR1I3,ODC1,p70 S6k,PGR,POU5F1,PPARA,RAF1,RB1,RICTOR,TCF3,WBP2,XBP1,YES1	ATP6V1F,CASP3,CKAP5,CLIC1,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,DFFA,DYNLT1,EIF3D,EPS15,ERLEC1,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MANF,MBP,MECP2,NIT1,NUCKS1,NUDT21,OAS2,PABPC4,PCMT1,PDAP1,PML,PSMC2,RANBP2,S100A6,SEPTIN2,SNRPD1,SPA17,TUBA4A,UBA1	38 (36)	31	 	 	 	 	EGFR	 	 	 	 	
chrysotile asbestos	chemical toxicant	 	3	 	 	0.156	7.08E-08	6.00E-04	APP,ARRB1,CEBPB,chrysotile asbestos,CTNNB1,CXCL8,DDIT3,E2F1,EDN1,ERBB2,ERK,ESR1,FOXO3,HIF1A,HNF4A,MAPK1,mir-145,MKNK1,MMP12,MMP2,MMP3,MMP9,MYC,NR3C1,PGR,RB1,RUNX2,SP1,TNF,TP53,VEGFA	ADD3,ALCAM,ATP6V1F,BID,CASP3,CLIC1,COG7,COX5B,CPNE1,CSNK2B,CSTF3,DFFA,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,FAM120A,GNAQ,HADHB,HMGCL,HSPA2,LARS1,MACROH2A2,MANF,MECP2,MLF1,MTPN,MYCBP,NPEPPS,NUCKS1,NUDT21,PML,PRDX2,RANBP2,RBM8A,RPS12,SCIN,SNRPD1,TUBA4A,UBA1	41 (31)	26	 	 	 	CTSS,HSPA5,MMP12,MMP13,MMP3	 	 	 	 	 	
ADRA2A	G-protein coupled receptor	 	3	 	 	0.617	7.24E-08	7.00E-04	ADRA2A,APP,AR,CEBPB,Clathrin,EGFR,EPAS1,ERK,ERK1/2,ESR1,FOXO3,GATA1,HIF1A,HSF1,IRF4,KLF4,KRAS,Mapk,MAPK1,MAPK3,MKNK1,MYC,MYCN,NEDD9,NFE2L2,NR1I3,ODC1,p70 S6k,PGR,POU5F1,PPARA,PPARG,RAF1,RAS,RASSF5,RB1,RET,RUNX2,Shc,SRC,tamoxifen,TCF3,TP53,WBP2,XBP1	AKAP9,ATP6V1F,CASP3,CKAP5,CLIC1,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,DFFA,DYNLT1,EIF3D,EIF3G,EPS15,ERLEC1,HMGCL,HSPA2,IFT140,IPO5,KYAT3,LARS1,MACROH2A2,MANF,MBP,MECP2,NIT1,NPEPPS,NUCKS1,NUDT21,OAS2,PABPC4,PCMT1,PDAP1,RPS12,S100A6,SEPTIN2,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	42 (45)	38	brimonidine	dexmedetomidine,fluoxetine,GW3965,IFNG,quetiapine,testosterone,venlafaxine	 	EGFR,Mapk	Ins1	 	 	 	 	
PKN1	kinase	 	3	 	 	0.316	7.65E-08	5.00E-04	26s Proteasome,AKT1,AR,CLOCK,CREBBP,CRYAB,ESR1,FOXO3,GATA1,HIF1A,Histone h3,MAP2K1,MAP3K20,mir-145,MYC,NFE2L2,NPPA,p70 S6k,PGR,PKN1,PTEN,RB1,RET,RUVBL1,SOX2,STK11,tamoxifen,TP53	AKAP9,ATP6V1F,BID,COG7,COX5B,CPNE1,CSTF3,DFFA,EIF3D,EIF3G,ENAH,FAM120A,GNAQ,HADHB,HMGCL,HSPA2,IFT140,IPO5,LARS1,MACROH2A2,MANF,MBP,MTPN,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,PABPC4,PCMT1,PLS1,PML,PRDX2,PSMC2,RANBP2,RPS12,SCIN,SEPTIN2,SNRPD1,UBA1	40 (28)	22	Ins1,OXSR1	 	 	 	IgG1	 	 	 	 	
stigmatellin	chemical reagent	 	3	 	 	-0.632	7.69E-08	1.50E-03	AR,ARRB1,CEBPB,CREBBP,E2F1,EGFR,ERBB2,ERK1/2,ESR1,FOXO3,GATA1,GLI1,GSK3B,HIF1A,mir-145,MYC,NFE2L2,NR1I3,p70 S6k,PPARA,RAF1,RB1,stigmatellin,TCF3,TP53	ADD3,ATP6V1F,BID,CASP3,CLIC1,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,DFFA,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,FAM120A,GNAQ,HADHB,HMGCL,IPO5,KYAT3,LARS1,MACROH2A2,MANF,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,PABPC4,PCMT1,PLS1,PML,PRDX2,RANBP2,RPS12,S100A6,SH3GLB1,SNRPD1,UBA1	40 (25)	24	 	 	 	 	 	 	 	 	 	
G-protein beta	group	 	3	 	 	-0.160	7.72E-08	2.00E-04	26s Proteasome,AR,CEBPB,CX3CR1,EGFR,EPAS1,ERK,ERK1/2,ESR1,FOXO3,G-protein beta,GATA1,Gpcr,GSK3B,HIF1A,HSF1,KRAS,Mapk,MKNK1,MYC,MYCN,NEDD9,NFE2L2,NR1I3,ODC1,p70 S6k,PGR,PI3K (complex),PIK3CG,PLA2,PLA2G10,PLA2R1,PPARA,PPARG,RAF1,RB1,RUNX2,SHC1,TCF3,TP53,WBP2	ATP6V1F,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,DYNLT1,EIF3D,EIF3G,EPS15,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MACROH2A2,MANF,MBP,MDM1,NIT1,NPEPPS,NUCKS1,NUDT21,OAS2,PABPC4,PCMT1,PDAP1,PRDX2,PSMC2,RANBP2,RPS12,S100A6,SEPTIN2,SH3GLB1,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	39 (41)	35	fenretinide	 	 	CHRM2,EGFR,Mapk,PI3K (complex)	Plc beta	 	 	 	 	
EPGN	growth factor	 	3	 	 	0.949	7.82E-08	9.00E-04	AR,ARRB1,CEBPB,EGFR,EPAS1,EPGN,ESR1,FOXO3,HIF1A,HSF1,KLF4,KRAS,Mapk,MAPK1,MKNK1,MYC,NEDD9,NFE2L2,ODC1,p70 S6k,PGR,POU5F1,PPARG,RAF1,RARA,RB1,RUNX2,STAT6,tamoxifen,TP53,WBP2	ATP6V1F,CASP3,COG7,COX5B,CPNE1,CSNK2B,DFFA,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,GNAQ,HMGCL,HSPA2,IFT140,LARS1,MACROH2A2,MANF,MBP,MECP2,NIT1,NPEPPS,NUCKS1,NUDT21,OAS2,PABPC4,PCMT1,PDAP1,PLS1,PML,RANBP2,RPS12,SCIN,SEPTIN2,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	40 (31)	29	EDA,MMP3	Alpha catenin	 	EGFR,FOS,Mapk	 	 	 	 	 	
CERT1	kinase	0.008	3	 	 	0.160	8.35E-08	6.00E-04	AR,ARRB1,C3,CEBPB,CERT1,CTNNB1,DDIT3,EDN1,EGFR,ERBB2,ERK,ESR1,GSK3B,HIF1A,KRAS,MKNK1,MYC,MYCN,NEDD9,ODC1,p70 S6k,PGR,PPARG,RB1,RUNX2,tamoxifen,TP53,WBP2	ALCAM,ATP6V1F,CASP3,COG7,COX5B,CPNE1,CSNK2B,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,GNAQ,HMGCL,HSPA2,IFT140,MACROH2A2,MANF,MBP,MLF1,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,PABPC4,PCMT1,PDAP1,PRDX2,RANBP2,RPS12,SCIN,SEPTIN2,SH3GLB1,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	39 (28)	26	 	 	 	Cdc2	EGFR	 	 	 	 	
MAPK12	kinase	 	3	 	 	0.156	9.57E-08	4.00E-04	26s Proteasome,CXCL8,DDIT3,EGFR,EIF4E,ERK1/2,ESR1,estrogen receptor,FOS,FOXO3,GATA1,KAT5,KRAS,MAPK12,MEF2C,mir-145,MKNK1,MMP3,MMP9,MYC,MYOD1,NEDD9,NFATC4,NFE2L2,NR1I3,ODC1,PPARA,RAF1,TP53,VEGFA,WBP2	ADD3,BID,CASP3,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,DFFA,EIF3D,EIF3G,EPS15,FAM120A,GNAQ,HADHB,HSPA2,IPO5,KYAT3,LARS1,MACROH2A2,MBP,MLF1,MTPN,MYCBP,NPEPPS,NUDT21,PDAP1,PML,PRDX2,PSMC2,RANBP2,RBM8A,RPS12,S100A6,SEPTIN2,SH3GLB1,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	41 (31)	24	CCND2,LEF1,TGM1,tretinoin	sirolimus,Top2	 	CHEK2,FOS,MKNK1	EGFR,MMP13	 	 	 	 	
G-protein gamma	group	 	3	 	 	-0.160	9.87E-08	2.00E-04	26s Proteasome,AR,CEBPB,CX3CR1,EGFR,EPAS1,ERK,ERK1/2,ESR1,FOXO3,G-protein gamma,GATA1,Gpcr,GSK3B,HIF1A,HSF1,KRAS,Mapk,MKNK1,MYC,MYCN,NEDD9,NFE2L2,NR1I3,ODC1,p70 S6k,PGR,PI3K (complex),PIK3CG,PLA2,PLA2G10,PLA2R1,PPARA,PPARG,RAF1,RB1,RUNX2,SHC1,TCF3,TP53,WBP2	ATP6V1F,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,DYNLT1,EIF3D,EIF3G,EPS15,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MACROH2A2,MANF,MBP,MDM1,NIT1,NPEPPS,NUCKS1,NUDT21,OAS2,PABPC4,PCMT1,PDAP1,PRDX2,PSMC2,RANBP2,RPS12,S100A6,SEPTIN2,SH3GLB1,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	39 (41)	35	 	 	 	CHRM2,EGFR,Mapk,PI3K (complex)	 	 	 	 	 	
amlodipine	chemical drug	 	3	 	 	-1.441	1.15E-07	9.00E-04	amlodipine,APP,benzo(a)pyrene,CEBPB,CTNNB1,CYP,CYP2C9,CYP2D6,DDIT3,EGFR,EGLN,ERK,ESR1,FOXO3,GSK3B,HIF1A,IGF1R,KRAS,MAPK1,MKNK1,MYC,MYCN,NEDD9,NFE2L2,NR1I3,p70 S6k,PGR,PIK3CA,Pkc(s),PPARA,PPARG,RAF1,RB1,REN,SP1,tamoxifen,TP53,WBP2	ADD3,ALCAM,ATP6V1F,CASP3,CLIC1,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,DYNLT1,EIF3D,EIF3G,EPS15,GNAQ,HMGCL,HSPA2,IFT140,KYAT3,LARS1,MACROH2A2,MBP,MECP2,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,PABPC4,PDAP1,RANBP2,RPS12,SCIN,SEPTIN2,SH3GLB1,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	39 (38)	31	 	 	 	 	EGFR,S100A10	 	 	 	 	
TFDP1	transcription regulator	 	3	 	 	0.480	1.24E-07	1.20E-03	AR,ARRB1,CEBPB,CREBBP,E2F1,E2F2,E2F3,EGFR,ERBB2,ERK1/2,ESR1,FOXO3,GATA1,HIF1A,mir-145,MYC,NFE2L2,NR1I3,p70 S6k,PDX1,PPARA,RAF1,RB1,TCF3,TFDP1,TP53	ADD3,ATP6V1F,CASP3,CLIC1,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,DFFA,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,FAM120A,GNAQ,HADHB,HMGCL,IPO5,KYAT3,LARS1,MACROH2A2,MANF,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,PABPC4,PCMT1,PLS1,PML,PRDX2,RANBP2,RPS12,S100A6,SNRPD1,UBA1	39 (26)	25	EGF,IFNG,MKNK1,MYC,TRIM28	brefeldin A,CDK6,GnRH analog,MDM2,SMARCB1	 	CASP7,CCNA1,E2F3,PTTG1,TP73	 	 	 	 	 	
ADRA1A	G-protein coupled receptor	 	3	 	 	-0.649	1.26E-07	7.00E-04	26s Proteasome,ADRA1A,APP,AR,CEBPB,CREBBP,ERK1/2,ESR1,FOXO3,GATA1,H/K/NRAS,HIF1A,HSF1,KRAS,MAPK3,mir-21,MKNK1,MYC,NFE2L2,NR1I3,p70 S6k,PDX1,PGR,PI3K (complex),PPARA,PPARG,RAF1,RB1,Rsk,STAT3,TCF3,TP53,XBP1	ATP6V1F,CASP3,CKAP5,CLIC1,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,DYNLT1,EIF3D,EIF3G,ERLEC1,GNAQ,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MACROH2A2,MANF,MYCBP,NIT1,NPEPPS,NUDT21,OAS2,PABPC4,PCMT1,PLS1,PML,PRDX2,PSMC2,RANBP2,RPS12,S100A6,SEPTIN2,SNRPD1,TCP1	38 (33)	29	 	carvedilol,dexmedetomidine,fluoxetine,quetiapine,venlafaxine	 	PI3K (complex)	OPRD1	 	 	 	 	
OXTR	G-protein coupled receptor	 	3	 	 	0.480	1.29E-07	1.10E-03	APP,ARRB1,CEBPB,CREBBP,EGFR,ERK1/2,ESR1,FOXO3,HIF1A,HSF1,KLF4,KRAS,MAPK1,MAPK3,MKNK1,NEDD9,NFE2L2,NR3C1,ODC1,OXTR,p70 S6k,PGR,POU5F1,PPARG,RAF1,RARA,STAT6,TP53,WBP2,XBP1	CASP3,CLIC1,COG7,CPNE1,CSNK2B,DFFA,DYNLT1,EIF3G,ENAH,EPS15,ERLEC1,GNAQ,HMGCL,HSPA2,LARS1,MACROH2A2,MANF,MBP,MECP2,MLF1,MYCBP,NPEPPS,NUCKS1,NUDT21,OAS2,PABPC4,PDAP1,PLS1,PML,RANBP2,RPS12,S100A6,SCIN,SEPTIN2,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	39 (30)	28	diethylstilbestrol,PTGFR	brefeldin A	 	EGFR	 	 	 	 	 	
taurolithocholate-3-sulfate	chemical - endogenous mammalian	 	3	 	 	0.480	1.36E-07	9.00E-04	APP,ARRB1,CEBPB,CREBBP,EGFR,ERK1/2,ESR1,FOXO3,HIF1A,HSF1,KLF4,KRAS,MAPK1,MAPK3,MKNK1,NEDD9,NFE2L2,NR3C1,ODC1,p70 S6k,PGR,POU5F1,PPARG,RAF1,RARA,STAT6,taurolithocholate-3-sulfate,TP53,WBP2,XBP1,YES1	CASP3,CLIC1,COG7,CPNE1,CSNK2B,DFFA,DYNLT1,EIF3G,ENAH,EPS15,ERLEC1,GNAQ,HMGCL,HSPA2,LARS1,MACROH2A2,MANF,MBP,MECP2,MLF1,MYCBP,NPEPPS,NUCKS1,NUDT21,OAS2,PABPC4,PDAP1,PLS1,PML,RANBP2,RPS12,S100A6,SCIN,SEPTIN2,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	39 (31)	28	 	 	 	EGFR	 	 	 	 	 	
taurochenodeoxycholate	chemical - endogenous mammalian	 	3	 	 	0.160	1.40E-07	9.00E-04	26s Proteasome,AR,CEBPB,CSF2,CXCL8,EGFR,ESR1,FOXO3,HIF1A,IRF4,MAPK1,MYC,NCF1,NEDD9,NFE2L2,NFkB (complex),ODC1,p70 S6k,PGR,PI3K (complex),PPARG,PRKCZ,RAF1,RB1,RICTOR,RPS6KB1,SP1,taurochenodeoxycholate,TP53,TSC1,WBP2	BID,CASP3,COG7,COX5B,CPNE1,CSNK2B,DYNLT1,EIF3D,EIF3G,EPS15,GNAQ,HMGCL,HSPA2,LARS1,MACROH2A2,MANF,MBP,MECP2,MLF1,MTPN,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,PABPC4,PCMT1,PDAP1,PRDX2,PSMC2,RANBP2,RBBP9,RPS12,SCIN,SEPTIN2,SNRPD1,SPA17,TUBA4A,UBA1	39 (31)	27	 	pirinixic acid	 	EGFR,PI3K (complex),RPS6KB1	 	 	 	 	 	
SNX27	other	 	3	 	 	0.898	1.53E-07	2.00E-04	CDKN2A,ERK1/2,ESR1,FOXO3,HIF1A,HSF1,MTOR,MYC,NR3C1,p70 S6k,PDX1,RICTOR,SNX27,TP53	ATP6V1F,CASP3,COG7,COX5B,CPNE1,CSNK2B,EIF3D,EIF3G,ENAH,FAM120A,GNAQ,HMGCL,LARS1,MACROH2A2,MANF,MBP,MLF1,NPEPPS,NUCKS1,NUDT21,PABPC4,PLS1,PSMC2,RANBP2,RPS12,S100A6,SCIN,SNRPD1,TCP1,TUBA4A,UBA1	31 (14)	13	 	 	 	EIF4EBP1,MTOR	 	 	 	 	 	
PSMC3	enzyme	-0.078	3	 	 	-0.949	1.56E-07	1.70E-03	26s Proteasome,Ap1,beta-estradiol,CSF2,CTNNB1,CXCL8,E2F1,EGFR,ERBB2,ERN1,ESR1,FOXO3,GLI1,HIF1A,HNF4A,mir-145,ODC1,p70 S6k,PSMC3,RB1,tamoxifen,TP53	ADD3,ALCAM,BID,CASP3,CLIC1,COG7,CPNE1,CSNK2B,DFFA,EIF3D,EIF3G,ENAH,EPS15,ERLEC1,FAM120A,GNAQ,HADHB,HMGCL,IFT140,LARS1,MACROH2A2,MANF,MLF1,MTPN,MYCBP,NIT1,NPEPPS,NUCKS1,PABPC4,PDAP1,PLS1,PML,PRDX2,PSMC2,RANBP2,RBBP9,RPS12,SCIN,SH3GLB1,UBA1	40 (22)	20	4-phenylbutyric acid,pirinixic acid,SYVN1,testosterone,UCHL5	TSC2	 	26s Proteasome	 	 	 	 	 	
VRK1	kinase	 	3	 	 	-0.493	1.60E-07	6.00E-04	EGFR,ERBB2,ESR1,FOXO3,GLI1,H2AX,HIF1A,Histone h3,HSF1,MAPK1,MAPK8,mir-145,MYC,NFE2L2,NR3C1,p70 S6k,PGR,RB1,RICTOR,RUVBL1,SP1,TP53,VRK1	ADD3,ATP6V1F,BID,CASP3,COG7,COX5B,CPNE1,DFFA,EIF3D,EIF3G,EPS15,FAM120A,GNAQ,HADHB,HMGCL,HSPA2,LARS1,MACROH2A2,MANF,MECP2,MLF1,NIT1,NPEPPS,NUCKS1,NUDT21,PABPC4,PLS1,PML,PRDX2,PSMC2,RANBP2,RPS12,SCIN,SH3GLB1,SNRPD1,TCP1,UBA1	37 (23)	20	RABL6	mir-21	 	 	 	 	 	 	 	
MDC1	other	 	3	 	 	0.000	1.73E-07	1.00E-03	AR,BRCA1,CREBBP,E2F1,ERBB2,ESR1,FOXO3,GLI1,HIF1A,MDC1,mir-145,MYC,NR3C1,p70 S6k,PGR,RB1,TP53,TRIM28	ADD3,ATP6V1F,BID,CASP3,CLIC1,COG7,COX5B,CPNE1,DFFA,EIF3D,EIF3G,ENAH,EPS15,FAM120A,GNAQ,HADHB,HMGCL,HSPA2,LARS1,MACROH2A2,MANF,MLF1,MYCBP,NIT1,NPEPPS,NUDT21,PABPC4,PCMT1,PLS1,PML,PRDX2,RANBP2,RPS12,SCIN,SH3GLB1,SNRPD1,TUBA4A,UBA1	38 (18)	15	CHEK2,PLK1	 	 	TRIM28	 	 	 	 	 	
CREBBP	transcription regulator	 	3	 	 	-0.617	1.99E-07	1.30E-03	26s Proteasome,Ap1,AR,CEBPB,CREBBP,CSF2,CXCL8,EP300,ESR1,FOXM1,FOXO1,GATA1,HNF4A,KDM1A,mir-145,mir-21,MYC,MYOD1,NCOA1,NFE2L2,NFkB (complex),NR3C1,NR3C2,PDX1,PPARA,PTEN,RB1,RUNX2,SP1,STAT1,STAT3,tamoxifen,TFAP2A,TP53,XBP1	ACP1,ALCAM,ATP6V1F,CKAP5,COG7,COX5B,CPNE1,CSNK2B,CSTF3,DFFA,DYNLT1,EIF3D,EIF3G,ENAH,ERLEC1,FAM120A,GNAQ,IFT140,IPO5,KYAT3,MACROH2A2,MECP2,MLF1,MTPN,MYCBP,NIT1,NUDT21,PCMT1,PLS1,PML,PRDX2,PSMC2,RANBP2,RBBP9,RPS12,S100A6,SCIN,SEPTIN2,SH3GLB1,SNRPD1,TUBA4A,UBA1	42 (35)	29	26s Proteasome,CEBPD,EGF,TRH	CCS1477,EID1,EID3,mir-21,TIMP3	 	BDKRB2,BIRC5,CCND2,CRYAA/CRYAA2,EGR3,ELF3,GATA1,GNRHR,HLA-B,IRF1,KLF2,MDM2,NCOA,NCOA1	CCR5,IFNG,MYC	 	 	 	 	
MHC Class II (complex)	complex	 	3	 	 	-0.333	2.00E-07	6.00E-04	AR,ARRB1,ATF4,BCL6,CASP8,CD4,CEBPB,CREBBP,CTNNB1,EGFR,ERK1/2,ESR1,GATA1,GSK3B,HIF1A,HLA-B,HLA-DQA1,IKZF1,LCK,LYN,MAPK1,MHC Class II (complex),MITF,MKNK1,MYC,NFE2L2,NR1I3,p70 S6k,PGR,PLC gamma,PPARA,PPARG,RAF1,RB1,SP1,SYK,TCF3,TP53,tubulin (complex)	ACP1,ALCAM,ATP6V1F,BID,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,GNAQ,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MACROH2A2,MANF,MECP2,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,PABPC4,PCMT1,PLS1,RANBP2,RPS12,S100A6,SH3GLB1,SNRPD1	36 (39)	32	CTSS,IFNE,IFNGR,Ifnz (includes others),RNASE2,testosterone,TNFSF15,vinblastine	bicalutamide,CST3,glyburide,IFNAR1,lovastatin,ruxolitinib,spermine nitric oxide complex	 	 	 	 	 	 	 	
