Drug Name	dbID	mean_proximity	z-score	p-value	No.of.Targets	Mean_degrees	Therap_class	AgeGroup
2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid	DB02506	1.868918919	-3.918251079	4.46E-05	5	220	Unknown	All
Brigatinib	DB12267	1.777027027	-4.899671024	4.80E-07	5	384.6	Protein kinase inhibitors	All
Citric acid	DB04272	1.977027027	-3.072690563	0.001060692	5	167.8	Acid preparations	All
Imidazole	DB03366	1.995945946	-3.254002316	0.000568957	5	91.6	Thromboxane-A Synthase, antagonists & inhibitors	All
Insulin pork	DB00071	1.967567568	-3.082672979	0.001025752	5	135.6	Insulin	All
Isoprenaline	DB01064	1.824324324	-3.786218178	7.65E-05	5	288.2	Adrenergic and dopaminergic agents	All
Ponatinib	DB08901	1.871621622	-3.708737373	0.000104148	5	241.6	Protein kinase inhibitors	All
SF1126	DB05210	1.827027027	-4.54744057	2.72E-06	5	251.6	Protein kinase inhibitors	All
Theophylline	DB00277	1.977027027	-2.944140063	0.001619267	5	175	Bronchodilator agents	All
Xanthinol	DB09092	1.898648649	-3.551147937	0.000191777	5	149	Vasodilators	All
