Drug Name	dbID	mean_proximity	z-score	p-value	No.of.Targets	Mean_degrees	Therap_class	AgeGroup	Type
METHYL (2Z)-3-METHOXY-2-{2-[(E)-2-PHENYLVINYL]PHENYL}ACRYLATE	DB08330	2.0625	-3.25782985	0.000561338	8	76.375	Unknown	All	RNA
Resveratrol	DB02709	1.967060811	-3.948588665	3.93E-05	8	262.625	Pyrans	All	RNA
Ubiquinone Q2	DB08690	2.0625	-2.918881508	0.001756449	8	76.375	Vitamins	All	RNA
(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one	DB08236	1.934362934	-3.803192804	7.14E-05	7	117.7142857	Unknown	All	RNA
CYT997	DB05147	1.841698842	-4.296003168	8.70E-06	7	229.4285714	Cytotoxic agent	All	RNA
N-[2-(2-methyl-1H-indol-3-yl)ethyl]thiophene-2-carboxamide	DB08235	1.934362934	-3.891112393	4.99E-05	7	117.7142857	Unknown	All	RNA
Nabiximols	DB14011	2.093629344	-2.471474566	0.006727856	7	99.14285714	Cannabinoids and similars	All	RNA
Antihemophilic factor, human recombinant	DB00025	1.888513514	-4.174871542	1.49E-05	6	198.3333333	Hemostatics	All	RNA
Epothilone D	DB01873	1.806306306	-4.555306768	2.62E-06	6	262.6666667	Tubilin modulators	All	RNA
Fluocinolone acetonide	DB00591	1.974099099	-3.731774961	9.51E-05	6	143.1666667	Corticosteroids	All	RNA
Lonoctocog alfa	DB13998	1.888513514	-3.844917947	6.03E-05	6	198.3333333	Hemostatics	All	RNA
Moroctocog alfa	DB13999	1.888513514	-4.176243191	1.48E-05	6	198.3333333	Hemostatics	All	RNA
Myristic acid	DB08231	1.943693694	-3.865544411	5.54E-05	6	140.5	Lipids	All	RNA
Patupilone	DB03010	1.806306306	-4.906938194	4.63E-07	6	262.6666667	Tubilin modulators	All	RNA
Pseudoephedrine	DB00852	1.816441441	-4.329677827	7.47E-06	6	344	Sympathomimetics	All	RNA
Tenecteplase	DB00031	1.956081081	-3.867323803	5.50E-05	6	147	Plasminogen activator	All	RNA
2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid	DB02506	1.868918919	-3.918251079	4.46E-05	5	220	Unknown	All	RNA
Brigatinib	DB12267	1.777027027	-4.899671024	4.80E-07	5	384.6	Protein kinase inhibitors	All	RNA
Citric acid	DB04272	1.977027027	-3.072690563	0.001060692	5	167.8	Acid preparations	All	RNA
Imidazole	DB03366	1.995945946	-3.254002316	0.000568957	5	91.6	Thromboxane-A Synthase, antagonists & inhibitors	All	RNA
Insulin pork	DB00071	1.967567568	-3.082672979	0.001025752	5	135.6	Insulin	All	RNA
Isoprenaline	DB01064	1.824324324	-3.786218178	7.65E-05	5	288.2	Adrenergic and dopaminergic agents	All	RNA
Ponatinib	DB08901	1.871621622	-3.708737373	0.000104148	5	241.6	Protein kinase inhibitors	All	RNA
SF1126	DB05210	1.827027027	-4.54744057	2.72E-06	5	251.6	Protein kinase inhibitors	All	RNA
Theophylline	DB00277	1.977027027	-2.944140063	0.001619267	5	175	Bronchodilator agents	All	RNA
Xanthinol	DB09092	1.898648649	-3.551147937	0.000191777	5	149	Vasodilators	All	RNA
Artenimol	DB11638	1.811981567	-5.461176743	2.36E-08	62	104.7096774	Antimalarial	CH	Protein
Copper	DB09130	1.867980296	-4.374643175	6.08E-06	58	90.79310345	Copper compounds	CH	Protein
Anisomycin	DB07374	1.7	-4.306537781	8.29E-06	6	129	Antibiotics	CH	Protein
Phenethyl Isothiocyanate	DB12695	1.784615385	-4.263652371	1.01E-05	26	126.3076923	Anticancer agents	CH	Protein
Puromycin	DB08437	1.7	-3.802798897	7.15E-05	6	129	Antibiotics	CH	Protein
(S)-3-phenyllactic acid	DB02494	1.7	-3.756673987	8.61E-05	6	129	Unknown	CH	Protein
Quercetin	DB04216	1.812698413	-3.102432414	0.000959687	9	122.5555556	Antioxidants	CH	Protein
Artenimol	DB11638	1.824143693	-5.759902225	4.21E-09	63	108.7777778	Antimalarial	YA	Protein
Phenethyl Isothiocyanate	DB12695	1.765107212	-5.579457199	1.21E-08	27	131.1111111	Anticancer agents	YA	Protein
Copper	DB09130	1.848047538	-5.559474341	1.35E-08	62	89.90322581	Copper compounds	YA	Protein
Quercetin	DB04216	1.792397661	-3.102938218	9.58E-04	9	126.4444444	Antioxidants	YA	Protein
Zinc	DB01593	1.900717703	-3.044825107	1.16E-03	22	73.81818182	Zinc compound	YA	Protein
Anisomycin	DB07374	1.789473684	-3.015510981	1.28E-03	6	132.3333333	Antibiotics	YA	Protein
Zinc chloride	DB14533	1.890581717	-2.953306213	0.00157195	19	78.84210526	Zinc compound	YA	Protein
Zinc sulfate	DB14548	1.890581717	-2.913454533	1.79E-03	19	78.84210526	Zinc compound	YA	Protein
(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one	DB08236	1.820175439	-2.883796481	1.96E-03	6	60.66666667	Unknown	YA	Protein
Zinc acetate	DB14487	1.900717703	-2.776266641	2.75E-03	22	73.81818182	Zinc compound	YA	Protein
Puromycin	DB08437	1.789473684	-2.755754216	2.93E-03	6	132.3333333	Antibiotics	YA	Protein
(S)-3-phenyllactic acid	DB02494	1.789473684	-2.716574187	3.30E-03	6	132.3333333	Unknown	YA	Protein
N-[2-(2-methyl-1H-indol-3-yl)ethyl]thiophene-2-carboxamide	DB08235	1.820175439	-2.569778112	5.09E-03	6	60.66666667	Unknown	YA	Protein
Artenimol	DB11638	1.801789077	-5.768015677	4.01E-09	59	98.40677966	Antimalarial	OA	Protein
Phenethyl Isothiocyanate	DB12695	1.788461538	-4.915047213	4.44E-07	26	126.0769231	Anticancer agents	OA	Protein
Copper	DB09130	1.864695341	-4.59918954	2.12E-06	62	80.4516129	Copper compounds	OA	Protein
(S)-3-phenyllactic acid	DB02494	1.670634921	-4.221985637	1.21E-05	7	128.2857143	Unknown	OA	Protein
Anisomycin	DB07374	1.670634921	-4.175518351	1.49E-05	7	128.2857143	Antibiotics	OA	Protein
Puromycin	DB08437	1.670634921	-4.152333518	1.65E-05	7	128.2857143	Antibiotics	OA	Protein
Quercetin	DB04216	1.760416667	-3.397806521	0.000339642	8	128.75	Antioxidants	OA	Protein
2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,4,5-Triol	DB04141	1.833333333	-2.651591642	0.004005668	7	58.14285714	Unknown	OA	Protein
2-Nonyl-4-quinolinol 1-oxide	DB08453	1.85	-2.387464069	0.008482531	5	55.2	Unknown	OA	Protein
Artenimol	DB11638	1.806802721	-5.293053206	6.01E-08	63	104.2063492	Antimalarial	All	Protein
Phenethyl Isothiocyanate	DB12695	1.782010582	-4.610645419	2.01E-06	27	128.8148148	Anticancer agents	All	Protein
Copper	DB09130	1.882488479	-4.178065223	1.47E-05	62	85.98387097	Copper compounds	All	Protein
Anisomycin	DB07374	1.742857143	-3.50062064	0.000232088	6	129	Antibiotics	All	Protein
Quercetin	DB04216	1.757142857	-3.288005359	0.0005045	8	135.75	Antioxidants	All	Protein
Puromycin	DB08437	1.742857143	-3.06004451	0.00110652	6	129	Antibiotics	All	Protein
(S)-3-phenyllactic acid	DB02494	1.742857143	-2.998811355	0.001355175	6	129	Unknown	All	Protein
